分拣中心,日期,货量
SC4,2023-12-11,26575.85857
SC4,2023-12-12,26667.42434
SC4,2023-12-13,26752.14938
SC4,2023-12-14,26832.24777
SC4,2023-12-15,26909.23567
SC4,2023-12-16,26984.15136
SC4,2023-12-17,27057.70593
SC4,2023-12-18,27130.3864
SC4,2023-12-19,27202.5264
SC4,2023-12-20,27274.35453
SC4,2023-12-21,27346.02745
SC4,2023-12-22,27417.65259
SC4,2023-12-23,27489.30366
SC4,2023-12-24,27561.03128
SC4,2023-12-25,27632.87026
SC4,2023-12-26,27704.8446
SC4,2023-12-27,27776.97086
SC4,2023-12-28,27849.26057
SC4,2023-12-29,27921.72176
SC4,2023-12-30,27994.36007
SC5,2023-12-1,23415.32996
SC5,2023-12-2,24739.41295
SC5,2023-12-3,25666.0678
SC5,2023-12-4,26323.32885
SC5,2023-12-5,26798.01375
SC5,2023-12-6,27148.992
SC5,2023-12-7,27416.18206
SC5,2023-12-8,27626.65212
SC5,2023-12-9,27798.75681
SC5,2023-12-10,27944.94236
SC5,2023-12-11,28073.64859
SC5,2023-12-12,28190.59867
SC5,2023-12-13,28299.67367
SC5,2023-12-14,28403.50559
SC5,2023-12-15,28503.87943
SC5,2023-12-16,28602.0059
SC5,2023-12-17,28698.70624
SC5,2023-12-18,28794.53767
SC5,2023-12-19,28889.87832
SC5,2023-12-20,28984.98493
SC5,2023-12-21,29080.03189
SC5,2023-12-22,29175.1378
SC5,2023-12-23,29270.38338
SC5,2023-12-24,29365.82371
SC5,2023-12-25,29461.49644
SC5,2023-12-26,29557.42744
SC5,2023-12-27,29653.63458
SC5,2023-12-28,29750.1303
SC5,2023-12-29,29846.92337
SC5,2023-12-30,29944.02007
SC6,2023-12-1,30893.64696
SC6,2023-12-2,32751.16177
SC6,2023-12-3,34015.73669
SC6,2023-12-4,34891.94704
SC6,2023-12-5,35513.84841
SC6,2023-12-6,35969.28599
SC6,2023-12-7,36315.82399
SC6,2023-12-8,36591.18402
SC6,2023-12-9,36820.08515
SC6,2023-12-10,37018.72607
SC6,2023-12-11,37197.72222
SC6,2023-12-12,37364.03043
SC6,2023-12-13,37522.21009
SC6,2023-12-14,37675.24961
SC6,2023-12-15,37825.10796
SC6,2023-12-16,37973.0695
SC6,2023-12-17,38119.9766
SC6,2023-12-18,38266.38194
SC6,2023-12-19,38412.64841
SC6,2023-12-20,38559.01452
SC6,2023-12-21,38705.63728
SC6,2023-12-22,38852.62032
SC6,2023-12-23,39000.03225
SC6,2023-12-24,39147.91878
SC6,2023-12-25,39296.31058
SC6,2023-12-26,39445.2285
SC6,2023-12-27,39594.68692
SC6,2023-12-28,39744.69603
SC6,2023-12-29,39895.26322
SC6,2023-12-30,40046.39412
SC7,2023-12-1,36668.50368
SC7,2023-12-2,38752.96097
SC7,2023-12-3,40212.21958
SC7,2023-12-4,41241.03621
SC7,2023-12-5,41973.51192
SC7,2023-12-6,42501.98296
SC7,2023-12-7,42890.02809
SC7,2023-12-8,43181.42499
SC7,2023-12-9,43406.31713
SC7,2023-12-10,43585.46006
SC7,2023-12-11,43733.14524
SC7,2023-12-12,43859.21321
SC7,2023-12-13,43970.43981
SC7,2023-12-14,44071.4907
SC7,2023-12-15,44165.57848
SC7,2023-12-16,44254.91532
SC7,2023-12-17,44341.02448
SC7,2023-12-18,44424.9549
SC7,2023-12-19,44507.42891
SC7,2023-12-20,44588.94395
SC7,2023-12-21,44669.84261
SC7,2023-12-22,44750.36087
SC7,2023-12-23,44830.66129
SC7,2023-12-24,44910.85588
SC7,2023-12-25,44991.02183
SC7,2023-12-26,45071.2124
SC7,2023-12-27,45151.46431
SC7,2023-12-28,45231.80293
SC7,2023-12-29,45312.24583
SC7,2023-12-30,45392.80515
CS8,2023-12-1,41316.77495
CS8,2023-12-2,43095.31179
CS8,2023-12-3,44346.3202
CS8,2023-12-4,45235.58071
CS8,2023-12-5,45876.79669
CS8,2023-12-6,46347.95351
CS8,2023-12-7,46702.53882
CS8,2023-12-8,46977.23812
CS8,2023-12-9,47197.21286
CS8,2023-12-10,47379.72058
CS8,2023-12-11,47536.59777
CS8,2023-12-12,47675.96281
CS8,2023-12-13,47803.38396
CS8,2023-12-14,47922.68046
CS8,2023-12-15,48036.47192
CS8,2023-12-16,48146.55518
CS8,2023-12-17,48254.16279
CS8,2023-12-18,48360.14025
CS8,2023-12-19,48465.0676
CS8,2023-12-20,48569.34281
CS8,2023-12-21,48673.23898
CS8,2023-12-22,48776.94358
CS8,2023-12-23,48880.58531
CS8,2023-12-24,48984.2526
CS8,2023-12-25,49088.00624
CS8,2023-12-26,49191.88807
CS8,2023-12-27,49295.92693
CS8,2023-12-28,49400.14276
CS8,2023-12-29,49504.54937
CS8,2023-12-30,49609.15638
SC9,2023-12-1,28842.65348
SC9,2023-12-2,29895.55678
SC9,2023-12-3,30636.2293
SC9,2023-12-4,31164.41179
SC9,2023-12-5,31548.00119
SC9,2023-12-6,31833.21735
SC9,2023-12-7,32051.52375
SC9,2023-12-8,32224.33879
SC9,2023-12-9,32366.24279
SC9,2023-12-10,32487.1612
SC9,2023-12-11,32593.85073
SC9,2023-12-12,32690.91102
SC9,2023-12-13,32781.47334
SC9,2023-12-14,32867.66939
SC9,2023-12-15,32950.9504
SC9,2023-12-16,33032.30443
SC9,2023-12-17,33112.40419
SC9,2023-12-18,33191.70777
SC9,2023-12-19,33270.52714
SC9,2023-12-20,33349.07479
SC9,2023-12-21,33427.49553
SC9,2023-12-22,33505.88804
SC9,2023-12-23,33584.31965
SC9,2023-12-24,33662.83633
SC9,2023-12-25,33741.4695
SC9,2023-12-26,33820.24069
SC9,2023-12-27,33899.16469
SC9,2023-12-28,33978.25172
SC9,2023-12-29,34057.50886
SC9,2023-12-30,34136.94107
SC10,2023-12-1,38768.73397
SC10,2023-12-2,38753.33935
SC10,2023-12-3,38615.57534
SC10,2023-12-4,38501.94595
SC10,2023-12-5,38384.06787
SC10,2023-12-6,38267.43848
SC10,2023-12-7,38150.99146
SC10,2023-12-8,38034.93211
SC10,2023-12-9,37919.21938
SC10,2023-12-10,37803.85992
SC10,2023-12-11,37688.85117
SC10,2023-12-12,37574.19235
SC10,2023-12-13,37459.88235
SC10,2023-12-14,37345.92011
SC10,2023-12-15,37232.30456
SC10,2023-12-16,37119.03467
SC10,2023-12-17,37006.10937
SC10,2023-12-18,36893.52761
SC10,2023-12-19,36781.28836
SC10,2023-12-20,36669.39057
SC10,2023-12-21,36557.8332
SC10,2023-12-22,36446.61521
SC10,2023-12-23,36335.73557
SC10,2023-12-24,36225.19326
SC10,2023-12-25,36114.98725
SC10,2023-12-26,36005.11651
SC10,2023-12-27,35895.58002
SC10,2023-12-28,35786.37678
SC10,2023-12-29,35677.50575
SC10,2023-12-30,35568.96594
SC14,2023-12-1,1693.709106
SC14,2023-12-2,1622.929884
SC14,2023-12-3,1571.405315
SC14,2023-12-4,1533.864847
SC14,2023-12-5,1506.48064
SC14,2023-12-6,1486.472652
SC14,2023-12-7,1471.821823
SC14,2023-12-8,1461.06177
SC14,2023-12-9,1453.127505
SC14,2023-12-10,1447.245561
SC14,2023-12-11,1442.854191
SC14,2023-12-12,1439.545415
SC14,2023-12-13,1437.022931
SC14,2023-12-14,1435.071543
SC14,2023-12-15,1433.534961
SC14,2023-12-16,1432.299677
SC14,2023-12-17,1431.283252
SC14,2023-12-18,1430.425814
SC14,2023-12-19,1429.68388
SC14,2023-12-20,1429.025869
SC14,2023-12-21,1428.428845
SC14,2023-12-22,1427.876152
SC14,2023-12-23,1427.355689
SC14,2023-12-24,1426.858672
SC14,2023-12-25,1426.378718
SC14,2023-12-26,1425.911194
SC14,2023-12-27,1425.452732
SC14,2023-12-28,1425.000889
SC14,2023-12-29,1424.55389
SC14,2023-12-30,1424.110444
SC15,2023-12-1,5061.091595
SC15,2023-12-2,4839.098802
SC15,2023-12-3,4718.19059
SC15,2023-12-4,4653.764402
SC15,2023-12-5,4620.900257
SC15,2023-12-6,4605.675069
SC15,2023-12-7,4600.309846
SC15,2023-12-8,4600.458382
SC15,2023-12-9,4603.692403
SC15,2023-12-10,4608.655214
SC15,2023-12-11,4614.588819
SC15,2023-12-12,4621.069724
SC15,2023-12-13,4627.861325
SC15,2023-12-14,4634.831438
SC15,2023-12-15,4641.906215
SC15,2023-12-16,4649.044406
SC15,2023-12-17,4656.222972
SC15,2023-12-18,4663.429046
SC15,2023-12-19,4670.65545
SC15,2023-12-20,4677.898179
SC15,2023-12-21,4685.155003
SC15,2023-12-22,4692.424686
SC15,2023-12-23,4699.706543
SC15,2023-12-24,4707.0002
SC15,2023-12-25,4714.305455
SC15,2023-12-26,4721.622204
SC15,2023-12-27,4728.950396
SC15,2023-12-28,4736.29001
SC15,2023-12-29,4743.641044
SC15,2023-12-30,4751.003501
SC16,2023-12-1,2233.622544
SC16,2023-12-2,2113.860912
SC16,2023-12-3,2015.921758
SC16,2023-12-4,1914.769696
SC16,2023-12-5,1822.563791
SC16,2023-12-6,1732.857203
SC16,2023-12-7,1648.537108
SC16,2023-12-8,1567.83353
SC16,2023-12-9,1491.324305
SC16,2023-12-10,1418.42672
SC16,2023-12-11,1349.153515
SC16,2023-12-12,1283.232901
SC16,2023-12-13,1220.548526
SC16,2023-12-14,1160.918541
SC16,2023-12-15,1104.205621
SC16,2023-12-16,1050.261306
SC16,2023-12-17,998.9533218
SC16,2023-12-18,950.1513837
SC16,2023-12-19,903.7338116
SC16,2023-12-20,859.5837477
SC16,2023-12-21,817.5906053
SC16,2023-12-22,777.6489186
SC16,2023-12-23,739.658515
SC16,2023-12-24,703.5240451
SC16,2023-12-25,669.154853
SC16,2023-12-26,636.4646938
SC16,2023-12-27,605.3715448
SC16,2023-12-28,575.797386
SC16,2023-12-29,547.668011
SC16,2023-12-30,520.9128376
SC17,2023-12-1,20134.50894
SC17,2023-12-2,20858.5065
SC17,2023-12-3,21292.33323
SC17,2023-12-4,21558.94866
SC17,2023-12-5,21729.22098
SC17,2023-12-6,21843.99533
SC17,2023-12-7,21926.81301
SC17,2023-12-8,21991.24216
SC17,2023-12-9,22045.10288
SC17,2023-12-10,22092.90237
SC17,2023-12-11,22137.23841
SC17,2023-12-12,22179.6083
SC17,2023-12-13,22220.87506
SC17,2023-12-14,22261.53617
SC17,2023-12-15,22301.87838
SC17,2023-12-16,22342.06702
SC17,2023-12-17,22382.19745
SC17,2023-12-18,22422.32467
SC17,2023-12-19,22462.48043
SC17,2023-12-20,22502.6831
SC17,2023-12-21,22542.9433
SC17,2023-12-22,22583.26723
SC17,2023-12-23,22623.6585
SC17,2023-12-24,22664.11925
SC17,2023-12-25,22704.65077
SC17,2023-12-26,22745.25386
SC17,2023-12-27,22785.92904
SC17,2023-12-28,22826.67664
SC17,2023-12-29,22867.49694
SC17,2023-12-30,22908.39014
SC18,2023-12-1,6096.10374
SC18,2023-12-2,6085.478143
SC18,2023-12-3,6076.234425
SC18,2023-12-4,6067.832967
SC18,2023-12-5,6059.946145
SC18,2023-12-6,6052.375039
SC18,2023-12-7,6044.998876
SC18,2023-12-8,6037.744326
SC18,2023-12-9,6030.566863
SC18,2023-12-10,6023.43945
SC18,2023-12-11,6016.345668
SC18,2023-12-12,6009.275544
SC18,2023-12-13,6002.223022
SC18,2023-12-14,5995.184417
SC18,2023-12-15,5988.157492
SC18,2023-12-16,5981.140883
SC18,2023-12-17,5974.133758
SC18,2023-12-18,5967.135608
SC18,2023-12-19,5960.146122
SC18,2023-12-20,5953.165105
SC18,2023-12-21,5946.192437
SC18,2023-12-22,5939.228039
SC18,2023-12-23,5932.271862
SC18,2023-12-24,5925.32387
SC18,2023-12-25,5918.38404
SC18,2023-12-26,5911.452351
SC18,2023-12-27,5904.52879
SC18,2023-12-28,5897.613342
SC18,2023-12-29,5890.705998
SC18,2023-12-30,5883.806745
SC19,2023-12-1,7929.393255
SC19,2023-12-2,8427.849918
SC19,2023-12-3,8774.705771
SC19,2023-12-4,9017.539621
SC19,2023-12-5,9189.00046
SC19,2023-12-6,9311.492312
SC19,2023-12-7,9400.389019
SC19,2023-12-8,9466.240256
SC19,2023-12-9,9516.285307
SC19,2023-12-10,9555.491845
SC19,2023-12-11,9587.268742
SC19,2023-12-12,9613.955204
SC19,2023-12-13,9637.15643
SC19,2023-12-14,9657.973932
SC19,2023-12-15,9677.163589
SC19,2023-12-16,9695.244106
SC19,2023-12-17,9712.571434
SC19,2023-12-18,9729.389843
SC19,2023-12-19,9745.866965
SC19,2023-12-20,9762.117845
SC19,2023-12-21,9778.221438
SC19,2023-12-22,9794.23194
SC19,2023-12-23,9810.18655
SC19,2023-12-24,9826.110809
SC19,2023-12-25,9842.022256
SC19,2023-12-26,9857.93294
SC19,2023-12-27,9873.851141
SC19,2023-12-28,9889.782555
SC19,2023-12-29,9905.731101
SC19,2023-12-30,9921.699485
SC21,2023-12-1,2137.524296
SC21,2023-12-2,2167.365826
SC21,2023-12-3,2186.20213
SC21,2023-12-4,2197.778871
SC21,2023-12-5,2204.567189
SC21,2023-12-6,2208.197378
SC21,2023-12-7,2209.744995
SC21,2023-12-8,2209.919622
SC21,2023-12-9,2209.189393
SC21,2023-12-10,2207.86315
SC21,2023-12-11,2206.144646
SC21,2023-12-12,2204.168302
SC21,2023-12-13,2202.0228
SC21,2023-12-14,2199.766644
SC21,2023-12-15,2197.438432
SC21,2023-12-16,2195.063625
SC21,2023-12-17,2192.659022
SC21,2023-12-18,2190.235702
SC21,2023-12-19,2187.800976
SC21,2023-12-20,2185.359664
SC21,2023-12-21,2182.914945
SC21,2023-12-22,2180.468918
SC21,2023-12-23,2178.022962
SC21,2023-12-24,2175.577991
SC21,2023-12-25,2173.134603
SC21,2023-12-26,2170.693192
SC21,2023-12-27,2168.254019
SC21,2023-12-28,2165.817254
SC21,2023-12-29,2163.383007
SC21,2023-12-30,2160.95135
SC22,2023-12-1,10185.83802
SC22,2023-12-2,10631.43564
SC22,2023-12-3,10963.70521
SC22,2023-12-4,11216.8502
SC22,2023-12-5,11414.78865
SC22,2023-12-6,11574.24636
SC22,2023-12-7,11706.91982
SC22,2023-12-8,11820.98872
SC22,2023-12-9,11922.1736
SC22,2023-12-10,12014.47534
SC22,2023-12-11,12100.6924
SC22,2023-12-12,12182.78236
SC22,2023-12-13,12262.11487
SC22,2023-12-14,12339.64843
SC22,2023-12-15,12416.05404
SC22,2023-12-16,12491.80167
SC22,2023-12-17,12567.22075
SC22,2023-12-18,12642.54238
SC22,2023-12-19,12717.92897
SC22,2023-12-20,12793.49486
SC22,2023-12-21,12869.32078
SC22,2023-12-22,12945.464
SC22,2023-12-23,13021.96535
SC22,2023-12-24,13098.85418
SC22,2023-12-25,13176.15183
SC22,2023-12-26,13253.87404
SC22,2023-12-27,13332.03263
SC22,2023-12-28,13410.63667
SC22,2023-12-29,13489.69335
SC22,2023-12-30,13569.20853
SC23,2023-12-1,3885.705626
SC23,2023-12-2,3939.871882
SC23,2023-12-3,3981.855176
SC23,2023-12-4,4016.258771
SC23,2023-12-5,4045.96324
SC23,2023-12-6,4072.771245
SC23,2023-12-7,4097.810974
SC23,2023-12-8,4121.788592
SC23,2023-12-9,4145.146196
SC23,2023-12-10,4168.160654
SC23,2023-12-11,4191.005446
SC23,2023-12-12,4213.789363
SC23,2023-12-13,4236.580721
SC23,2023-12-14,4259.422511
SC23,2023-12-15,4282.341877
SC23,2023-12-16,4305.356053
SC23,2023-12-17,4328.476069
SC23,2023-12-18,4351.709075
SC23,2023-12-19,4375.059798
SC23,2023-12-20,4398.531448
SC23,2023-12-21,4422.126284
SC23,2023-12-22,4445.845978
SC23,2023-12-23,4469.69183
SC23,2023-12-24,4493.664912
SC23,2023-12-25,4517.766155
SC23,2023-12-26,4541.996399
SC23,2023-12-27,4566.356433
SC23,2023-12-28,4590.847015
SC23,2023-12-29,4615.468882
SC23,2023-12-30,4640.222761
SC24,2023-12-1,5693.376923
SC24,2023-12-2,5858.822467
SC24,2023-12-3,5938.447553
SC24,2023-12-4,5975.728154
SC24,2023-12-5,5992.116325
SC24,2023-12-6,5998.197009
SC24,2023-12-7,5999.193061
SC24,2023-12-8,5997.681558
SC24,2023-12-9,5994.934089
SC24,2023-12-10,5991.578084
SC24,2023-12-11,5987.923132
SC24,2023-12-12,5984.12199
SC24,2023-12-13,5980.250031
SC24,2023-12-14,5976.344445
SC24,2023-12-15,5972.42358
SC24,2023-12-16,5968.496491
SC24,2023-12-17,5964.567644
SC24,2023-12-18,5960.639241
SC24,2023-12-19,5956.712369
SC24,2023-12-20,5952.787562
SC24,2023-12-21,5948.865084
SC24,2023-12-22,5944.945064
SC24,2023-12-23,5941.027564
SC24,2023-12-24,5937.112615
SC24,2023-12-25,5933.20023
SC24,2023-12-26,5929.290416
SC24,2023-12-27,5925.383175
SC24,2023-12-28,5921.478507
SC24,2023-12-29,5917.57641
SC24,2023-12-30,5913.676885
SC25,2023-12-1,46749.64157
SC25,2023-12-2,47469.36362
SC25,2023-12-3,48020.47986
SC25,2023-12-4,48450.60884
SC25,2023-12-5,48793.94452
SC25,2023-12-6,49075.04102
SC25,2023-12-7,49311.53027
SC25,2023-12-8,49516.07359
SC25,2023-12-9,49697.76297
SC25,2023-12-10,49863.12737
SC25,2023-12-11,50016.85531
SC25,2023-12-12,50162.31369
SC25,2023-12-13,50301.92045
SC25,2023-12-14,50437.41205
SC25,2023-12-15,50570.03562
SC25,2023-12-16,50700.68691
SC25,2023-12-17,50830.00935
SC25,2023-12-18,50958.4652
SC25,2023-12-19,51086.38659
SC25,2023-12-20,51214.01226
SC25,2023-12-21,51341.51385
SC25,2023-12-22,51469.01481
SC25,2023-12-23,51596.60404
SC25,2023-12-24,51724.34556
SC25,2023-12-25,51852.28559
SC25,2023-12-26,51980.45752
SC25,2023-12-27,52108.88555
SC25,2023-12-28,52237.58729
SC25,2023-12-29,52366.5756
SC25,2023-12-30,52495.85994
SC26,2023-12-1,4323.60668
SC26,2023-12-2,4273.131063
SC26,2023-12-3,4254.260966
SC26,2023-12-4,4245.099441
SC26,2023-12-5,4238.92286
SC26,2023-12-6,4233.666679
SC26,2023-12-7,4228.696958
SC26,2023-12-8,4223.819037
SC26,2023-12-9,4218.973141
SC26,2023-12-10,4214.14091
SC26,2023-12-11,4209.316703
SC26,2023-12-12,4204.498782
SC26,2023-12-13,4199.686611
SC26,2023-12-14,4194.880019
SC26,2023-12-15,4190.078951
SC26,2023-12-16,4185.283385
SC26,2023-12-17,4180.493309
SC26,2023-12-18,4175.708716
SC26,2023-12-19,4170.929599
SC26,2023-12-20,4166.155952
SC26,2023-12-21,4161.387768
SC26,2023-12-22,4156.625041
SC26,2023-12-23,4151.867766
SC26,2023-12-24,4147.115935
SC26,2023-12-25,4142.369543
SC26,2023-12-26,4137.628583
SC26,2023-12-27,4132.893049
SC26,2023-12-28,4128.162935
SC26,2023-12-29,4123.438235
SC26,2023-12-30,4118.718942
SC27,2023-12-1,3870.720013
SC27,2023-12-2,3847.00041
SC27,2023-12-3,3831.004826
SC27,2023-12-4,3819.109753
SC27,2023-12-5,3809.394599
SC27,2023-12-6,3800.841376
SC27,2023-12-7,3792.910506
SC27,2023-12-8,3785.31598
SC27,2023-12-9,3777.906194
SC27,2023-12-10,3770.60078
SC27,2023-12-11,3763.357127
SC27,2023-12-12,3756.152638
SC27,2023-12-13,3748.975324
SC27,2023-12-14,3741.818818
SC27,2023-12-15,3734.679732
SC27,2023-12-16,3727.556261
SC27,2023-12-17,3720.447433
SC27,2023-12-18,3713.352722
SC27,2023-12-19,3706.271837
SC27,2023-12-20,3699.204611
SC27,2023-12-21,3692.150945
SC27,2023-12-22,3685.110773
SC27,2023-12-23,3678.084049
SC27,2023-12-24,3671.070736
SC27,2023-12-25,3664.070802
SC27,2023-12-26,3657.084219
SC27,2023-12-27,3650.110959
SC27,2023-12-28,3643.150997
SC27,2023-12-29,3636.204307
SC27,2023-12-30,3629.270863
SC28,2023-12-1,1023.761908
SC28,2023-12-2,988.7193637
SC28,2023-12-3,951.5944909
SC28,2023-12-4,915.1439863
SC28,2023-12-5,879.9313696
SC28,2023-12-6,846.0387866
SC28,2023-12-7,813.4439756
SC28,2023-12-8,782.1032332
SC28,2023-12-9,751.9696289
SC28,2023-12-10,722.9969581
SC28,2023-12-11,695.1405586
SC28,2023-12-12,668.3574363
SC28,2023-12-13,642.606242
SC28,2023-12-14,617.8472172
SC28,2023-12-15,594.0421347
SC28,2023-12-16,571.15424
SC28,2023-12-17,549.1481948
SC28,2023-12-18,527.9900222
SC28,2023-12-19,507.6470544
SC28,2023-12-20,488.0878824
SC28,2023-12-21,469.2823072
SC28,2023-12-22,451.2012934
SC28,2023-12-23,433.8169244
SC28,2023-12-24,417.1023591
SC28,2023-12-25,401.0317905
SC28,2023-12-26,385.5804061
SC28,2023-12-27,370.7243492
SC28,2023-12-28,356.4406826
SC28,2023-12-29,342.7073523
SC28,2023-12-30,329.5031547
SC29,2023-12-1,6823.449611
SC29,2023-12-2,6871.275515
SC29,2023-12-3,6895.380925
SC29,2023-12-4,6908.372158
SC29,2023-12-5,6916.156289
SC29,2023-12-6,6921.501256
SC29,2023-12-7,6925.704063
SC29,2023-12-8,6929.372459
SC29,2023-12-9,6932.791224
SC29,2023-12-10,6936.093802
SC29,2023-12-11,6939.342722
SC29,2023-12-12,6942.567283
SC29,2023-12-13,6945.781215
SC29,2023-12-14,6948.990953
SC29,2023-12-15,6952.199512
SC29,2023-12-16,6955.408304
SC29,2023-12-17,6958.617993
SC29,2023-12-18,6961.828889
SC29,2023-12-19,6965.041139
SC29,2023-12-20,6968.25481
SC29,2023-12-21,6971.469936
SC29,2023-12-22,6974.686532
SC29,2023-12-23,6977.904606
SC29,2023-12-24,6981.124162
SC29,2023-12-25,6984.345202
SC29,2023-12-26,6987.567728
SC29,2023-12-27,6990.79174
SC29,2023-12-28,6994.017239
SC29,2023-12-29,6997.244227
SC29,2023-12-30,7000.472704
SC30,2023-12-1,3846.308185
SC30,2023-12-2,3889.76727
SC30,2023-12-3,3905.840366
SC30,2023-12-4,3910.168818
SC30,2023-12-5,3909.46219
SC30,2023-12-6,3906.598635
SC30,2023-12-7,3902.812774
SC30,2023-12-8,3898.634212
SC30,2023-12-9,3894.290125
SC30,2023-12-10,3889.877961
SC30,2023-12-11,3885.439518
SC30,2023-12-12,3880.992723
SC30,2023-12-13,3876.545261
SC30,2023-12-14,3872.100427
SC30,2023-12-15,3867.659631
SC30,2023-12-16,3863.223473
SC30,2023-12-17,3858.792209
SC30,2023-12-18,3854.365944
SC30,2023-12-19,3849.94472
SC30,2023-12-20,3845.528552
SC30,2023-12-21,3841.117444
SC30,2023-12-22,3836.711392
SC30,2023-12-23,3832.310393
SC30,2023-12-24,3827.914442
SC30,2023-12-25,3823.523534
SC30,2023-12-26,3819.137662
SC30,2023-12-27,3814.75682
SC30,2023-12-28,3810.381004
SC30,2023-12-29,3806.010208
SC30,2023-12-30,3801.644425
SC31,2023-12-1,12044.16817
SC31,2023-12-2,12352.9643
SC31,2023-12-3,12579.90572
SC31,2023-12-4,12749.27871
SC31,2023-12-5,12878.17101
SC31,2023-12-6,12978.60556
SC31,2023-12-7,13059.04168
SC31,2023-12-8,13125.43138
SC31,2023-12-9,13181.96251
SC31,2023-12-10,13231.5817
SC31,2023-12-11,13276.36224
SC31,2023-12-12,13317.76293
SC31,2023-12-13,13356.81026
SC31,2023-12-14,13394.2265
SC31,2023-12-15,13430.51993
SC31,2023-12-16,13466.04821
SC31,2023-12-17,13501.06305
SC31,2023-12-18,13535.74162
SC31,2023-12-19,13570.20865
SC31,2023-12-20,13604.55194
SC31,2023-12-21,13638.83335
SC31,2023-12-22,13673.09644
SC31,2023-12-23,13707.37195
SC31,2023-12-24,13741.68156
SC31,2023-12-25,13776.04058
SC31,2023-12-26,13810.45985
SC31,2023-12-27,13844.94707
SC31,2023-12-28,13879.50771
SC31,2023-12-29,13914.14568
SC31,2023-12-30,13948.86381
SC34,2023-12-1,9359.102732
SC34,2023-12-2,9282.209624
SC34,2023-12-3,9247.105048
SC34,2023-12-4,9230.980939
SC34,2023-12-5,9223.477812
SC34,2023-12-6,9219.890365
SC34,2023-12-7,9218.081435
SC34,2023-12-8,9217.080319
SC34,2023-12-9,9216.446121
SC34,2023-12-10,9215.978584
SC34,2023-12-11,9215.586751
SC34,2023-12-12,9215.22931
SC34,2023-12-13,9214.887496
SC34,2023-12-14,9214.552786
SC34,2023-12-15,9214.22131
SC34,2023-12-16,9213.891308
SC34,2023-12-17,9213.561983
SC34,2023-12-18,9213.232971
SC34,2023-12-19,9212.904108
SC34,2023-12-20,9212.57532
SC34,2023-12-21,9212.246571
SC34,2023-12-22,9211.917846
SC34,2023-12-23,9211.58914
SC34,2023-12-24,9211.260447
SC34,2023-12-25,9210.931768
SC34,2023-12-26,9210.603101
SC34,2023-12-27,9210.274446
SC34,2023-12-28,9209.945803
SC34,2023-12-29,9209.617171
SC34,2023-12-30,9209.288551
SC35,2023-12-1,29340.48268
SC35,2023-12-2,29365.06563
SC35,2023-12-3,29216.93253
SC35,2023-12-4,29144.75381
SC35,2023-12-5,29039.81569
SC35,2023-12-6,28949.64359
SC35,2023-12-7,28853.45917
SC35,2023-12-8,28760.34474
SC35,2023-12-9,28666.32831
SC35,2023-12-10,28573.14489
SC35,2023-12-11,28480.03457
SC35,2023-12-12,28387.32813
