分拣中心,日期,班次,正式工人数,临时工人数
SC1,29,12:00-20:00,28,71
SC1,29,14:00-22:00,69,69
SC1,29,16:00-24:00,23,57
SC1,30,00:00-08:00,25,57
SC1,30,05:00-13:00,74,76
SC1,30,08:00-16:00,103,37
SC1,30,12:00-20:00,59,100
SC1,30,14:00-22:00,47,84
SC1,30,16:00-24:00,54,54
SC10,1,00:00-08:00,9,83
SC10,1,05:00-13:00,82,31
SC10,1,08:00-16:00,74,65
SC10,1,12:00-20:00,69,89
SC10,1,14:00-22:00,26,67
SC10,1,16:00-24:00,48,55
SC10,2,00:00-08:00,60,72
SC10,2,05:00-13:00,29,59
SC10,2,08:00-16:00,56,34
SC10,2,12:00-20:00,42,35
SC10,2,14:00-22:00,62,77
SC10,2,16:00-24:00,57,63
SC10,3,00:00-08:00,77,89
SC10,3,05:00-13:00,32,72
SC10,3,08:00-16:00,32,109
SC10,3,12:00-20:00,77,85
SC10,3,14:00-22:00,109,96
SC10,3,16:00-24:00,23,38
SC10,4,00:00-08:00,62,115
SC10,4,05:00-13:00,28,76
SC10,4,08:00-16:00,107,61
SC10,4,12:00-20:00,45,60
SC10,4,14:00-22:00,78,62
SC10,4,16:00-24:00,57,56
SC10,5,00:00-08:00,35,105
SC10,5,05:00-13:00,66,97
SC10,5,08:00-16:00,65,30
SC10,5,12:00-20:00,36,105
SC10,5,14:00-22:00,48,38
SC10,5,16:00-24:00,9,38
SC10,6,00:00-08:00,62,57
SC10,6,05:00-13:00,84,41
SC10,6,08:00-16:00,37,8
SC10,6,12:00-20:00,40,50
SC10,6,14:00-22:00,61,79
SC10,6,16:00-24:00,38,62
SC10,7,00:00-08:00,94,86
SC10,7,05:00-13:00,33,60
SC10,7,08:00-16:00,70,63
SC10,7,12:00-20:00,57,61
SC10,7,14:00-22:00,98,116
SC10,7,16:00-24:00,108,87
SC10,8,00:00-08:00,98,89
SC10,8,05:00-13:00,86,57
SC10,8,08:00-16:00,34,35
SC10,8,12:00-20:00,46,42
SC10,8,14:00-22:00,41,44
SC10,8,16:00-24:00,43,92
SC10,9,00:00-08:00,82,7
SC10,9,05:00-13:00,17,90
SC10,9,08:00-16:00,83,95
SC10,9,12:00-20:00,18,75
SC10,9,14:00-22:00,40,58
SC10,9,16:00-24:00,64,28
SC10,10,00:00-08:00,26,72
SC10,10,05:00-13:00,104,12
SC10,10,08:00-16:00,77,85
SC10,10,12:00-20:00,91,22
SC10,10,14:00-22:00,36,68
SC10,10,16:00-24:00,36,93
SC10,11,00:00-08:00,31,56
SC10,11,05:00-13:00,76,91
SC10,11,08:00-16:00,76,20
SC10,11,12:00-20:00,52,51
SC10,11,14:00-22:00,37,54
SC10,11,16:00-24:00,71,60
SC10,12,00:00-08:00,20,58
SC10,12,05:00-13:00,93,66
SC10,12,08:00-16:00,72,96
SC10,12,12:00-20:00,12,96
SC10,12,14:00-22:00,52,47
SC10,12,16:00-24:00,67,74
SC10,13,00:00-08:00,86,68
SC10,13,05:00-13:00,96,72
SC10,13,08:00-16:00,95,74
SC10,13,12:00-20:00,50,63
SC10,13,14:00-22:00,26,26
SC10,13,16:00-24:00,32,82
SC10,14,00:00-08:00,105,71
SC10,14,05:00-13:00,36,41
SC10,14,08:00-16:00,53,51
SC10,14,12:00-20:00,112,68
SC10,14,14:00-22:00,97,55
SC10,14,16:00-24:00,50,60
SC10,15,00:00-08:00,62,96
SC10,15,05:00-13:00,37,52
SC10,15,08:00-16:00,78,39
SC10,15,12:00-20:00,33,52
SC10,15,14:00-22:00,58,84
SC10,15,16:00-24:00,26,65
SC10,16,00:00-08:00,75,74
SC10,16,05:00-13:00,71,59
SC10,16,08:00-16:00,36,55
SC10,16,12:00-20:00,92,68
SC10,16,14:00-22:00,86,38
SC10,16,16:00-24:00,84,83
SC10,17,00:00-08:00,77,72
SC10,17,05:00-13:00,43,65
SC10,17,08:00-16:00,75,85
SC10,17,12:00-20:00,79,15
SC10,17,14:00-22:00,20,64
SC10,17,16:00-24:00,26,40
SC10,18,00:00-08:00,44,32
SC10,18,05:00-13:00,61,94
SC10,18,08:00-16:00,93,50
SC10,18,12:00-20:00,48,89
SC10,18,14:00-22:00,91,22
SC10,18,16:00-24:00,77,95
SC10,19,00:00-08:00,43,58
SC10,19,05:00-13:00,108,62
SC10,19,08:00-16:00,67,92
SC10,19,12:00-20:00,108,75
SC10,19,14:00-22:00,85,4
SC10,19,16:00-24:00,62,58
SC10,20,00:00-08:00,64,25
SC10,20,05:00-13:00,22,93
SC10,20,08:00-16:00,19,110
SC10,20,12:00-20:00,73,84
SC10,20,14:00-22:00,33,28
SC10,20,16:00-24:00,17,88
SC10,21,00:00-08:00,67,44
SC10,21,05:00-13:00,41,60
SC10,21,08:00-16:00,29,22
SC10,21,12:00-20:00,59,87
SC10,21,14:00-22:00,15,89
SC10,21,16:00-24:00,76,69
SC10,22,00:00-08:00,48,40
SC10,22,05:00-13:00,31,32
SC10,22,08:00-16:00,45,91
SC10,22,12:00-20:00,16,100
SC10,22,14:00-22:00,51,57
SC10,22,16:00-24:00,73,55
SC10,23,00:00-08:00,58,91
SC10,23,05:00-13:00,102,66
SC10,23,08:00-16:00,47,37
SC10,23,12:00-20:00,22,41
SC10,23,14:00-22:00,75,95
SC10,23,16:00-24:00,3,91
SC10,24,00:00-08:00,31,27
SC10,24,05:00-13:00,54,40
SC10,24,08:00-16:00,80,112
SC10,24,12:00-20:00,69,42
SC10,24,14:00-22:00,55,68
SC10,24,16:00-24:00,38,39
SC10,25,00:00-08:00,38,66
SC10,25,05:00-13:00,50,54
SC10,25,08:00-16:00,68,31
SC10,25,12:00-20:00,49,19
SC10,25,14:00-22:00,24,52
SC10,25,16:00-24:00,65,108
SC10,26,00:00-08:00,64,87
SC10,26,05:00-13:00,31,50
SC10,26,08:00-16:00,88,68
SC10,26,12:00-20:00,90,67
SC10,26,14:00-22:00,71,68
SC10,26,16:00-24:00,91,20
SC10,27,00:00-08:00,62,65
SC10,27,05:00-13:00,95,104
SC10,27,08:00-16:00,68,68
SC10,27,12:00-20:00,51,52
SC10,27,14:00-22:00,40,45
SC10,27,16:00-24:00,82,73
SC10,28,00:00-08:00,52,38
SC10,28,05:00-13:00,29,106
SC10,28,08:00-16:00,67,77
SC10,28,12:00-20:00,100,54
SC10,28,14:00-22:00,84,41
SC10,28,16:00-24:00,30,86
SC10,29,00:00-08:00,74,78
SC10,29,05:00-13:00,3,42
SC10,29,08:00-16:00,62,95
SC10,29,12:00-20:00,28,71
SC10,29,14:00-22:00,69,69
SC10,29,16:00-24:00,23,57
SC10,30,00:00-08:00,25,57
SC10,30,05:00-13:00,74,76
SC10,30,08:00-16:00,103,37
SC10,30,12:00-20:00,59,100
SC10,30,14:00-22:00,47,84
SC10,30,16:00-24:00,54,54
SC12,1,00:00-08:00,9,83
SC12,1,05:00-13:00,82,31
SC12,1,08:00-16:00,74,65
SC12,1,12:00-20:00,69,89
SC12,1,14:00-22:00,26,67
SC12,1,16:00-24:00,48,55
SC12,2,00:00-08:00,60,72
SC12,2,05:00-13:00,29,59
SC12,2,08:00-16:00,56,34
SC12,2,12:00-20:00,42,35
SC12,2,14:00-22:00,62,77
SC12,2,16:00-24:00,57,63
SC12,3,00:00-08:00,77,89
SC12,3,05:00-13:00,32,72
SC12,3,08:00-16:00,32,109
SC12,3,12:00-20:00,77,85
SC12,3,14:00-22:00,109,96
SC12,3,16:00-24:00,23,38
SC12,4,00:00-08:00,62,115
SC12,4,05:00-13:00,28,76
SC12,4,08:00-16:00,107,61
SC12,4,12:00-20:00,45,60
SC12,4,14:00-22:00,78,62
SC12,4,16:00-24:00,57,56
SC12,5,00:00-08:00,35,105
SC12,5,05:00-13:00,66,97
SC12,5,08:00-16:00,65,30
SC12,5,12:00-20:00,36,105
SC12,5,14:00-22:00,48,38
SC12,5,16:00-24:00,9,38
SC12,6,00:00-08:00,62,57
SC12,6,05:00-13:00,84,41
SC12,6,08:00-16:00,37,8
SC12,6,12:00-20:00,40,50
SC12,6,14:00-22:00,61,79
SC12,6,16:00-24:00,38,62
SC12,7,00:00-08:00,94,86
SC12,7,05:00-13:00,33,60
SC12,7,08:00-16:00,70,63
SC12,7,12:00-20:00,57,61
SC12,7,14:00-22:00,98,116
SC12,7,16:00-24:00,108,87
SC12,8,00:00-08:00,98,89
SC12,8,05:00-13:00,86,57
SC12,8,08:00-16:00,34,35
SC12,8,12:00-20:00,46,42
SC12,8,14:00-22:00,41,44
SC12,8,16:00-24:00,43,92
SC12,9,00:00-08:00,82,7
SC12,9,05:00-13:00,17,90
SC12,9,08:00-16:00,83,95
SC12,9,12:00-20:00,18,75
SC12,9,14:00-22:00,40,58
SC12,9,16:00-24:00,64,28
SC12,10,00:00-08:00,26,72
SC12,10,05:00-13:00,104,12
SC12,10,08:00-16:00,77,85
SC12,10,12:00-20:00,91,22
SC12,10,14:00-22:00,36,68
SC12,10,16:00-24:00,36,93
SC12,11,00:00-08:00,31,56
SC12,11,05:00-13:00,76,91
SC12,11,08:00-16:00,76,20
SC12,11,12:00-20:00,52,51
SC12,11,14:00-22:00,37,54
SC12,11,16:00-24:00,71,60
SC12,12,00:00-08:00,20,58
SC12,12,05:00-13:00,93,66
SC12,12,08:00-16:00,72,96
SC12,12,12:00-20:00,12,96
SC12,12,14:00-22:00,52,47
SC12,12,16:00-24:00,67,74
SC12,13,00:00-08:00,86,68
SC12,13,05:00-13:00,96,72
SC12,13,08:00-16:00,95,74
SC12,13,12:00-20:00,50,63
SC12,13,14:00-22:00,26,26
SC12,13,16:00-24:00,32,82
SC12,14,00:00-08:00,105,71
SC12,14,05:00-13:00,36,41
SC12,14,08:00-16:00,53,51
SC12,14,12:00-20:00,112,68
SC12,14,14:00-22:00,97,55
SC12,14,16:00-24:00,50,60
SC12,15,00:00-08:00,62,96
SC12,15,05:00-13:00,37,52
SC12,15,08:00-16:00,78,39
SC12,15,12:00-20:00,33,52
SC12,15,14:00-22:00,58,84
SC12,15,16:00-24:00,26,65
SC12,16,00:00-08:00,75,74
SC12,16,05:00-13:00,71,59
SC12,16,08:00-16:00,36,55
SC12,16,12:00-20:00,92,68
SC12,16,14:00-22:00,86,38
SC12,16,16:00-24:00,84,83
SC12,17,00:00-08:00,77,72
SC12,17,05:00-13:00,43,65
SC12,17,08:00-16:00,75,85
SC12,17,12:00-20:00,79,15
SC12,17,14:00-22:00,20,64
SC12,17,16:00-24:00,26,40
SC12,18,00:00-08:00,44,32
SC12,18,05:00-13:00,61,94
SC12,18,08:00-16:00,93,50
SC12,18,12:00-20:00,48,89
SC12,18,14:00-22:00,91,22
SC12,18,16:00-24:00,77,95
SC12,19,00:00-08:00,43,58
SC12,19,05:00-13:00,108,62
SC12,19,08:00-16:00,67,92
SC12,19,12:00-20:00,108,75
SC12,19,14:00-22:00,85,4
SC12,19,16:00-24:00,62,58
SC12,20,00:00-08:00,64,25
SC12,20,05:00-13:00,22,93
SC12,20,08:00-16:00,19,110
SC12,20,12:00-20:00,73,84
SC12,20,14:00-22:00,33,28
SC12,20,16:00-24:00,17,88
SC12,21,00:00-08:00,67,44
SC12,21,05:00-13:00,41,60
SC12,21,08:00-16:00,29,22
SC12,21,12:00-20:00,59,87
SC12,21,14:00-22:00,15,89
SC12,21,16:00-24:00,76,69
SC12,22,00:00-08:00,48,40
SC12,22,05:00-13:00,31,32
SC12,22,08:00-16:00,45,91
SC12,22,12:00-20:00,16,100
SC12,22,14:00-22:00,51,57
SC12,22,16:00-24:00,73,55
SC12,23,00:00-08:00,58,91
SC12,23,05:00-13:00,102,66
SC12,23,08:00-16:00,47,37
SC12,23,12:00-20:00,22,41
SC12,23,14:00-22:00,75,95
SC12,23,16:00-24:00,3,91
SC12,24,00:00-08:00,31,27
SC12,24,05:00-13:00,54,40
SC12,24,08:00-16:00,80,112
SC12,24,12:00-20:00,69,42
SC12,24,14:00-22:00,55,68
SC12,24,16:00-24:00,38,39
SC12,25,00:00-08:00,38,66
SC12,25,05:00-13:00,50,54
SC12,25,08:00-16:00,68,31
SC12,25,12:00-20:00,49,19
SC12,25,14:00-22:00,24,52
SC12,25,16:00-24:00,65,108
SC12,26,00:00-08:00,64,87
SC12,26,05:00-13:00,31,50
SC12,26,08:00-16:00,88,68
SC12,26,12:00-20:00,90,67
SC12,26,14:00-22:00,71,68
SC12,26,16:00-24:00,91,20
SC12,27,00:00-08:00,62,65
SC12,27,05:00-13:00,95,104
SC12,27,08:00-16:00,68,68
SC12,27,12:00-20:00,51,52
SC12,27,14:00-22:00,40,45
SC12,27,16:00-24:00,82,73
SC12,28,00:00-08:00,52,38
SC12,28,05:00-13:00,29,106
SC12,28,08:00-16:00,67,77
SC12,28,12:00-20:00,100,54
SC12,28,14:00-22:00,84,41
SC12,28,16:00-24:00,30,86
SC12,29,00:00-08:00,74,78
SC12,29,05:00-13:00,3,42
SC12,29,08:00-16:00,62,95
SC12,29,12:00-20:00,28,71
SC12,29,14:00-22:00,69,69
SC12,29,16:00-24:00,23,57
SC12,30,00:00-08:00,25,57
SC12,30,05:00-13:00,74,76
SC12,30,08:00-16:00,103,37
SC12,30,12:00-20:00,59,100
SC12,30,14:00-22:00,47,84
SC12,30,16:00-24:00,54,54
SC14,1,00:00-08:00,9,83
SC14,1,05:00-13:00,82,31
SC14,1,08:00-16:00,74,65
SC14,1,12:00-20:00,69,89
SC14,1,14:00-22:00,26,67
SC14,1,16:00-24:00,48,55
SC14,2,00:00-08:00,60,72
SC14,2,05:00-13:00,29,59
SC14,2,08:00-16:00,56,34
SC14,2,12:00-20:00,42,35
SC14,2,14:00-22:00,62,77
SC14,2,16:00-24:00,57,63
SC14,3,00:00-08:00,77,89
SC14,3,05:00-13:00,32,72
SC14,3,08:00-16:00,32,109
SC14,3,12:00-20:00,77,85
SC14,3,14:00-22:00,109,96
SC14,3,16:00-24:00,23,38
SC14,4,00:00-08:00,62,115
SC14,4,05:00-13:00,28,76
SC14,4,08:00-16:00,107,61
SC14,4,12:00-20:00,45,60
SC14,4,14:00-22:00,78,62
SC14,4,16:00-24:00,57,56
SC14,5,00:00-08:00,35,105
SC14,5,05:00-13:00,66,97
SC14,5,08:00-16:00,65,30
SC14,5,12:00-20:00,36,105
SC14,5,14:00-22:00,48,38
SC14,5,16:00-24:00,9,38
SC14,6,00:00-08:00,62,57
SC14,6,05:00-13:00,84,41
SC14,6,08:00-16:00,37,8
SC14,6,12:00-20:00,40,50
SC14,6,14:00-22:00,61,79
SC14,6,16:00-24:00,38,62
SC14,7,00:00-08:00,94,86
SC14,7,05:00-13:00,33,60
SC14,7,08:00-16:00,70,63
SC14,7,12:00-20:00,57,61
SC14,7,14:00-22:00,98,116
SC14,7,16:00-24:00,108,87
SC14,8,00:00-08:00,98,89
SC14,8,05:00-13:00,86,57
SC14,8,08:00-16:00,34,35
SC14,8,12:00-20:00,46,42
SC14,8,14:00-22:00,41,44
SC14,8,16:00-24:00,43,92
SC14,9,00:00-08:00,82,7
SC14,9,05:00-13:00,17,90
SC14,9,08:00-16:00,83,95
SC14,9,12:00-20:00,18,75
SC14,9,14:00-22:00,40,58
SC14,9,16:00-24:00,64,28
SC14,10,00:00-08:00,26,72
SC14,10,05:00-13:00,104,12
SC14,10,08:00-16:00,77,85
SC14,10,12:00-20:00,91,22
SC14,10,14:00-22:00,36,68
SC14,10,16:00-24:00,36,93
SC14,11,00:00-08:00,31,56
SC14,11,05:00-13:00,76,91
SC14,11,08:00-16:00,76,20
SC14,11,12:00-20:00,52,51
SC14,11,14:00-22:00,37,54
SC14,11,16:00-24:00,71,60
SC14,12,00:00-08:00,20,58
SC14,12,05:00-13:00,93,66
SC14,12,08:00-16:00,72,96
SC14,12,12:00-20:00,12,96
SC14,12,14:00-22:00,52,47
SC14,12,16:00-24:00,67,74
SC14,13,00:00-08:00,86,68
SC14,13,05:00-13:00,96,72
SC14,13,08:00-16:00,95,74
SC14,13,12:00-20:00,50,63
SC14,13,14:00-22:00,26,26
SC14,13,16:00-24:00,32,82
SC14,14,00:00-08:00,105,71
SC14,14,05:00-13:00,36,41
SC14,14,08:00-16:00,53,51
SC14,14,12:00-20:00,112,68
SC14,14,14:00-22:00,97,55
SC14,14,16:00-24:00,50,60
SC14,15,00:00-08:00,62,96
SC14,15,05:00-13:00,37,52
SC14,15,08:00-16:00,78,39
SC14,15,12:00-20:00,33,52
SC14,15,14:00-22:00,58,84
SC14,15,16:00-24:00,26,65
SC14,16,00:00-08:00,75,74
SC14,16,05:00-13:00,71,59
SC14,16,08:00-16:00,36,55
SC14,16,12:00-20:00,92,68
SC14,16,14:00-22:00,86,38
SC14,16,16:00-24:00,84,83
SC14,17,00:00-08:00,77,72
SC14,17,05:00-13:00,43,65
SC14,17,08:00-16:00,75,85
SC14,17,12:00-20:00,79,15
SC14,17,14:00-22:00,20,64
SC14,17,16:00-24:00,26,40
SC14,18,00:00-08:00,44,32
SC14,18,05:00-13:00,61,94
SC14,18,08:00-16:00,93,50
SC14,18,12:00-20:00,48,89
SC14,18,14:00-22:00,91,22
SC14,18,16:00-24:00,77,95
SC14,19,00:00-08:00,43,58
SC14,19,05:00-13:00,108,62
SC14,19,08:00-16:00,67,92
SC14,19,12:00-20:00,108,75
SC14,19,14:00-22:00,85,4
SC14,19,16:00-24:00,62,58
SC14,20,00:00-08:00,64,25
SC14,20,05:00-13:00,22,93
SC14,20,08:00-16:00,19,110
SC14,20,12:00-20:00,73,84
SC14,20,14:00-22:00,33,28
SC14,20,16:00-24:00,17,88
SC14,21,00:00-08:00,67,44
SC14,21,05:00-13:00,41,60
SC14,21,08:00-16:00,29,22
SC14,21,12:00-20:00,59,87
SC14,21,14:00-22:00,15,89
SC14,21,16:00-24:00,76,69
SC14,22,00:00-08:00,48,40
SC14,22,05:00-13:00,31,32
SC14,22,08:00-16:00,45,91
SC14,22,12:00-20:00,16,100
SC14,22,14:00-22:00,51,57
SC14,22,16:00-24:00,73,55
SC14,23,00:00-08:00,58,91
SC14,23,05:00-13:00,102,66
SC14,23,08:00-16:00,47,37
SC14,23,12:00-20:00,22,41
SC14,23,14:00-22:00,75,95
SC14,23,16:00-24:00,3,91
SC14,24,00:00-08:00,31,27
SC14,24,05:00-13:00,54,40
SC14,24,08:00-16:00,80,112
SC14,24,12:00-20:00,69,42
SC14,24,14:00-22:00,55,68
SC14,24,16:00-24:00,38,39
SC14,25,00:00-08:00,38,66
SC14,25,05:00-13:00,50,54
SC14,25,08:00-16:00,68,31
SC14,25,12:00-20:00,49,19
SC14,25,14:00-22:00,24,52
SC14,25,16:00-24:00,65,108
SC14,26,00:00-08:00,64,87
SC14,26,05:00-13:00,31,50
SC14,26,08:00-16:00,88,68
SC14,26,12:00-20:00,90,67
SC14,26,14:00-22:00,71,68
SC14,26,16:00-24:00,91,20
SC14,27,00:00-08:00,62,65
SC14,27,05:00-13:00,95,104
SC14,27,08:00-16:00,68,68
SC14,27,12:00-20:00,51,52
SC14,27,14:00-22:00,40,45
SC14,27,16:00-24:00,82,73
SC14,28,00:00-08:00,52,38
SC14,28,05:00-13:00,29,106
SC14,28,08:00-16:00,67,77
SC14,28,12:00-20:00,100,54
SC14,28,14:00-22:00,84,41
SC14,28,16:00-24:00,30,86
SC14,29,00:00-08:00,74,78
SC14,29,05:00-13:00,3,42
SC14,29,08:00-16:00,62,95
SC14,29,12:00-20:00,28,71
SC14,29,14:00-22:00,69,69
SC14,29,16:00-24:00,23,57
SC14,30,00:00-08:00,25,57
SC14,30,05:00-13:00,74,76
SC14,30,08:00-16:00,103,37
SC14,30,12:00-20:00,59,100
SC14,30,14:00-22:00,47,84
SC14,30,16:00-24:00,54,54
SC15,1,00:00-08:00,9,83
SC15,1,05:00-13:00,82,31
SC15,1,08:00-16:00,74,65
SC15,1,12:00-20:00,69,89
SC15,1,14:00-22:00,26,67
SC15,1,16:00-24:00,48,55
SC15,2,00:00-08:00,60,72
SC15,2,05:00-13:00,29,59
SC15,2,08:00-16:00,56,34
SC15,2,12:00-20:00,42,35
SC15,2,14:00-22:00,62,77
SC15,2,16:00-24:00,57,63
SC15,3,00:00-08:00,77,89
SC15,3,05:00-13:00,32,72
SC15,3,08:00-16:00,32,109
SC15,3,12:00-20:00,77,85
SC15,3,14:00-22:00,109,96
SC15,3,16:00-24:00,23,38
SC15,4,00:00-08:00,62,115
SC15,4,05:00-13:00,28,76
SC15,4,08:00-16:00,107,61
SC15,4,12:00-20:00,45,60
SC15,4,14:00-22:00,78,62
SC15,4,16:00-24:00,57,56
SC15,5,00:00-08:00,35,105
SC15,5,05:00-13:00,66,97
SC15,5,08:00-16:00,65,30
SC15,5,12:00-20:00,36,105
SC15,5,14:00-22:00,48,38
SC15,5,16:00-24:00,9,38
SC15,6,00:00-08:00,62,57
SC15,6,05:00-13:00,84,41
SC15,6,08:00-16:00,37,8
SC15,6,12:00-20:00,40,50
SC15,6,14:00-22:00,61,79
SC15,6,16:00-24:00,38,62
SC15,7,00:00-08:00,94,86
SC15,7,05:00-13:00,33,60
SC15,7,08:00-16:00,70,63
SC15,7,12:00-20:00,57,61
SC15,7,14:00-22:00,98,116
SC15,7,16:00-24:00,108,87
SC15,8,00:00-08:00,98,89
SC15,8,05:00-13:00,86,57
SC15,8,08:00-16:00,34,35
SC15,8,12:00-20:00,46,42
SC15,8,14:00-22:00,41,44
SC15,8,16:00-24:00,43,92
SC15,9,00:00-08:00,82,7
SC15,9,05:00-13:00,17,90
SC15,9,08:00-16:00,83,95
SC15,9,12:00-20:00,18,75
SC15,9,14:00-22:00,40,58
SC15,9,16:00-24:00,64,28
SC15,10,00:00-08:00,26,72
