分拣中心,日期,小时,货量
SC1,2023-12-4,16,43.73564964
SC1,2023-12-4,17,30.59038416
SC1,2023-12-4,18,43.1213849
SC1,2023-12-4,19,73.43534992
SC1,2023-12-4,20,102.7664914
SC1,2023-12-4,21,106.605646
SC1,2023-12-4,22,130.7769636
SC1,2023-12-4,23,128.9341694
SC1,2023-12-5,0,120.8791677
SC1,2023-12-5,1,113.1874256
SC1,2023-12-5,2,132.0103068
SC1,2023-12-5,3,96.89719111
SC1,2023-12-5,4,123.3805473
SC1,2023-12-5,5,97.49126876
SC1,2023-12-5,6,1.782232944
SC1,2023-12-5,7,47.15100491
SC1,2023-12-5,8,79.13739616
SC1,2023-12-5,9,62.628291
SC1,2023-12-5,10,42.17951301
SC1,2023-12-5,11,53.56079005
SC1,2023-12-5,12,88.45503506
SC1,2023-12-5,13,80.04414626
SC1,2023-12-5,14,15.25841538
SC1,2023-12-5,15,22.44988165
SC1,2023-12-5,16,23.48170072
SC1,2023-12-5,17,24.1695801
SC1,2023-12-5,18,39.39672824
SC1,2023-12-5,19,62.84716171
SC1,2023-12-5,20,101.4622088
SC1,2023-12-5,21,115.5012017
SC1,2023-12-5,22,120.910435
SC1,2023-12-5,23,108.6849423
SC1,2023-12-6,0,110.5293198
SC1,2023-12-6,1,111.8292917
SC1,2023-12-6,2,107.7074295
SC1,2023-12-6,3,127.2387149
SC1,2023-12-6,4,119.7559497
SC1,2023-12-6,5,91.53704709
SC1,2023-12-6,6,1.204852023
SC1,2023-12-6,7,44.738058
SC1,2023-12-6,8,72.35453463
SC1,2023-12-6,9,44.00880546
SC1,2023-12-6,10,43.12101976
SC1,2023-12-6,11,41.02838204
SC1,2023-12-6,12,105.4879653
SC1,2023-12-6,13,95.84914907
SC1,2023-12-6,14,17.69230075
SC1,2023-12-6,15,27.52135673
SC1,2023-12-6,16,33.03831073
SC1,2023-12-6,17,29.48716792
SC1,2023-12-6,18,40.9966754
SC1,2023-12-6,19,82.72260335
SC1,2023-12-6,20,108.3732688
SC1,2023-12-6,21,118.0437916
SC1,2023-12-6,22,123.6875721
SC1,2023-12-6,23,124.6387711
SC1,2023-12-7,0,126.3890148
SC1,2023-12-7,1,128.9539872
SC1,2023-12-7,2,113.1473448
SC1,2023-12-7,3,105.8692356
SC1,2023-12-7,4,97.56513751
SC1,2023-12-7,5,95.83378114
SC1,2023-12-7,6,0.897740339
SC1,2023-12-7,7,47.90085949
SC1,2023-12-7,8,71.17798398
SC1,2023-12-7,9,60.66159716
SC1,2023-12-7,10,60.62953501
SC1,2023-12-7,11,57.07063581
SC1,2023-12-7,12,96.28265131
SC1,2023-12-7,13,75.53843706
SC1,2023-12-7,14,1.987853607
SC1,2023-12-7,15,6.059747285
SC1,2023-12-7,16,42.86710117
SC1,2023-12-7,17,51.01088852
SC1,2023-12-7,18,55.17896867
SC1,2023-12-7,19,84.86852415
SC1,2023-12-7,20,120.0407081
SC1,2023-12-7,21,112.8587854
SC1,2023-12-7,22,124.4652855
SC1,2023-12-7,23,111.5121749
SC1,2023-12-8,0,125.0249383
SC1,2023-12-8,1,116.3534364
SC1,2023-12-8,2,120.4626929
SC1,2023-12-8,3,123.6012589
SC1,2023-12-8,4,115.026826
SC1,2023-12-8,5,99.17221429
SC1,2023-12-8,6,22.5523763
SC1,2023-12-8,7,41.28670324
SC1,2023-12-8,8,72.57529418
SC1,2023-12-8,9,58.98562697
SC1,2023-12-8,10,53.97039264
SC1,2023-12-8,11,87.1356519
SC1,2023-12-8,12,97.61910947
SC1,2023-12-8,13,86.71501935
SC1,2023-12-8,14,22.617089
SC1,2023-12-8,15,28.57065749
SC1,2023-12-8,16,40.08951827
SC1,2023-12-8,17,52.44964416
SC1,2023-12-8,18,49.95820518
SC1,2023-12-8,19,96.38956815
SC1,2023-12-8,20,122.6629248
SC1,2023-12-8,21,114.0237792
SC1,2023-12-8,22,139.9735723
SC1,2023-12-8,23,130.4284489
SC1,2023-12-9,0,132.5749169
SC1,2023-12-9,1,123.6083399
SC1,2023-12-9,2,133.5530889
SC1,2023-12-9,3,120.6738238
SC1,2023-12-9,4,116.9893757
SC1,2023-12-9,5,105.8056088
SC1,2023-12-9,6,2.119372749
SC1,2023-12-9,7,47.63697825
SC1,2023-12-9,8,86.86167698
SC1,2023-12-9,9,54.19073091
SC1,2023-12-9,10,40.03984209
SC1,2023-12-9,11,80.73179887
SC1,2023-12-9,12,101.6646805
SC1,2023-12-9,13,76.10178456
SC1,2023-12-9,14,15.74856981
SC1,2023-12-9,15,35.21419337
SC1,2023-12-9,16,42.51787792
SC1,2023-12-9,17,42.9743582
SC1,2023-12-9,18,48.32169868
SC1,2023-12-9,19,71.92825053
SC1,2023-12-9,20,112.8484475
SC1,2023-12-9,21,104.4361679
SC1,2023-12-9,22,99.80615361
SC1,2023-12-9,23,117.2502216
SC1,2023-12-10,0,117.2088272
SC1,2023-12-10,1,120.4582458
SC1,2023-12-10,2,130.0423896
SC1,2023-12-10,3,122.952749
SC1,2023-12-10,4,100.2068186
SC1,2023-12-10,5,102.8982563
SC1,2023-12-10,6,0.919027488
SC1,2023-12-10,7,31.34540184
SC1,2023-12-10,8,85.17415473
SC1,2023-12-10,9,58.62082479
SC1,2023-12-10,10,49.3977275
SC1,2023-12-10,11,77.46088831
SC1,2023-12-10,12,100.4037531
SC1,2023-12-10,13,61.1809728
SC1,2023-12-10,14,4.463847801
SC1,2023-12-10,15,24.02600434
SC1,2023-12-10,16,36.92521159
SC1,2023-12-10,17,27.4067126
SC1,2023-12-10,18,53.04101504
SC1,2023-12-10,19,67.22029629
SC1,2023-12-10,20,109.7253176
SC1,2023-12-10,21,123.2481507
SC1,2023-12-10,22,125.0533832
SC1,2023-12-10,23,142.71184
SC1,2023-12-11,0,227.6401285
SC1,2023-12-11,1,178.8766086
SC1,2023-12-11,2,173.0329099
SC1,2023-12-11,3,179.3058068
SC1,2023-12-11,4,173.4290929
SC1,2023-12-11,5,134.4380861
SC1,2023-12-11,6,66.03049414
SC1,2023-12-11,7,131.1365614
SC1,2023-12-11,8,166.3308147
SC1,2023-12-11,9,159.7277653
SC1,2023-12-11,10,148.3375051
SC1,2023-12-11,11,150.1533437
SC1,2023-12-11,12,149.1959015
SC1,2023-12-11,13,104.1631045
SC1,2023-12-11,14,73.95415344
SC1,2023-12-11,15,141.5693794
SC1,2023-12-11,16,156.6903626
SC1,2023-12-11,17,141.2062117
SC1,2023-12-11,18,148.3375051
SC1,2023-12-11,19,118.0625235
SC1,2023-12-11,20,152.9266244
SC1,2023-12-11,21,131.1365614
SC1,2023-12-11,22,153.2237617
SC1,2023-12-11,23,197.0680098
SC1,2023-12-12,0,142.6206306
SC1,2023-12-12,1,145.7737514
SC1,2023-12-12,2,192.2407941
SC1,2023-12-12,3,167.8787874
SC1,2023-12-12,4,176.1764736
SC1,2023-12-12,5,196.555591
SC1,2023-12-12,6,83.10962509
SC1,2023-12-12,7,110.1932729
SC1,2023-12-12,8,116.4331329
SC1,2023-12-12,9,139.7994173
SC1,2023-12-12,10,130.605581
SC1,2023-12-12,11,139.6334636
SC1,2023-12-12,12,142.1891509
SC1,2023-12-12,13,84.50363638
SC1,2023-12-12,14,46.23470757
SC1,2023-12-12,15,109.2307413
SC1,2023-12-12,16,116.167607
SC1,2023-12-12,17,136.9450132
SC1,2023-12-12,18,129.8753846
SC1,2023-12-12,19,136.1816261
SC1,2023-12-12,20,165.721389
SC1,2023-12-12,21,142.8197751
SC1,2023-12-12,22,162.8006035
SC1,2023-12-12,23,191.0459273
SC1,2023-12-13,0,153.9605279
SC1,2023-12-13,1,176.6410216
SC1,2023-12-13,2,189.6823055
SC1,2023-12-13,3,153.9938815
SC1,2023-12-13,4,142.8537567
SC1,2023-12-13,5,54.49989223
SC1,2023-12-13,6,63.00507738
SC1,2023-12-13,7,90.52185283
SC1,2023-12-13,8,111.3678948
SC1,2023-12-13,9,61.63757702
SC1,2023-12-13,10,62.17123569
SC1,2023-12-13,11,59.10269831
SC1,2023-12-13,12,99.59405031
SC1,2023-12-13,13,62.6715407
SC1,2023-12-13,14,13.74171089
SC1,2023-12-13,15,61.50416235
SC1,2023-12-13,16,73.64489722
SC1,2023-12-13,17,66.6406271
SC1,2023-12-13,18,66.3404441
SC1,2023-12-13,19,94.32417089
SC1,2023-12-13,20,155.9617479
SC1,2023-12-13,21,147.7233921
SC1,2023-12-13,22,148.9908315
SC1,2023-12-13,23,136.1496696
SC1,2023-12-14,0,151.3534018
SC1,2023-12-14,1,137.6823396
SC1,2023-12-14,2,138.5200272
SC1,2023-12-14,3,141.9042853
SC1,2023-12-14,4,109.7370801
SC1,2023-12-14,5,61.98888495
SC1,2023-12-14,6,1.574852753
SC1,2023-12-14,7,58.20253685
SC1,2023-12-14,8,88.4598142
SC1,2023-12-14,9,80.28398289
SC1,2023-12-14,10,75.9950222
SC1,2023-12-14,11,66.27784564
SC1,2023-12-14,12,70.76785136
SC1,2023-12-14,13,73.14688425
SC1,2023-12-14,14,10.75590923
SC1,2023-12-14,15,30.65936742
SC1,2023-12-14,16,48.38483777
SC1,2023-12-14,17,40.81214155
SC1,2023-12-14,18,46.13983491
SC1,2023-12-14,19,48.88745035
SC1,2023-12-14,20,117.9129114
SC1,2023-12-14,21,127.898148
SC1,2023-12-14,22,127.2279979
SC1,2023-12-14,23,111.6805154
SC1,2023-12-15,0,105.9790223
SC1,2023-12-15,1,120.2150104
SC1,2023-12-15,2,89.35354218
SC1,2023-12-15,3,115.301407
SC1,2023-12-15,4,121.0227261
SC1,2023-12-15,5,93.39212035
SC1,2023-12-15,6,2.019289089
SC1,2023-12-15,7,41.66466486
SC1,2023-12-15,8,90.26222227
SC1,2023-12-15,9,71.55014338
SC1,2023-12-15,10,52.36689703
SC1,2023-12-15,11,63.64126111
SC1,2023-12-15,12,76.43009201
SC1,2023-12-15,13,86.15633445
SC1,2023-12-15,14,2.35583727
SC1,2023-12-15,15,1.009644544
SC1,2023-12-15,16,28.20273761
SC1,2023-12-15,17,34.19329524
SC1,2023-12-15,18,41.42908114
SC1,2023-12-15,19,78.0791781
SC1,2023-12-15,20,102.2769923
SC1,2023-12-15,21,134.6529274
SC1,2023-12-15,22,127.5517608
SC1,2023-12-15,23,113.7196305
SC1,2023-12-16,0,110.1121933
SC1,2023-12-16,1,101.8994054
SC1,2023-12-16,2,113.5933339
SC1,2023-12-16,3,105.9551031
SC1,2023-12-16,4,97.70851777
SC1,2023-12-16,5,116.4323223
SC1,2023-12-16,6,5.813166744
SC1,2023-12-16,7,29.53899845
SC1,2023-12-16,8,69.21724123
SC1,2023-12-16,9,66.37825282
SC1,2023-12-16,10,56.57698331
SC1,2023-12-16,11,72.76597674
SC1,2023-12-16,12,95.95104875
SC1,2023-12-16,13,88.04243818
SC1,2023-12-16,14,19.0955768
SC1,2023-12-16,15,35.3521652
SC1,2023-12-16,16,26.22684531
SC1,2023-12-16,17,24.06380652
SC1,2023-12-16,18,32.95254404
SC1,2023-12-16,19,59.41597172
SC1,2023-12-16,20,69.55521604
SC1,2023-12-16,21,84.86547496
SC1,2023-12-16,22,131.4722014
SC1,2023-12-16,23,113.2215616
SC1,2023-12-17,0,119.4238422
SC1,2023-12-17,1,121.7994231
SC1,2023-12-17,2,81.65210696
SC1,2023-12-17,3,106.6635795
SC1,2023-12-17,4,126.5166479
SC1,2023-12-17,5,109.1749078
SC1,2023-12-17,6,3.495497513
SC1,2023-12-17,7,37.80567213
SC1,2023-12-17,8,84.09556153
SC1,2023-12-17,9,61.73116482
SC1,2023-12-17,10,42.89620249
SC1,2023-12-17,11,57.35330871
SC1,2023-12-17,12,92.64765253
SC1,2023-12-17,13,80.05707411
SC1,2023-12-17,14,3.156128823
SC1,2023-12-17,15,0.814484857
SC1,2023-12-17,16,38.00929335
SC1,2023-12-17,17,41.47085399
SC1,2023-12-17,18,44.89847777
SC1,2023-12-17,19,52.77183139
SC1,2023-12-17,20,95.29472832
SC1,2023-12-17,21,101.1318698
SC1,2023-12-17,22,99.8083319
SC1,2023-12-17,23,101.2676173
SC1,2023-12-18,0,98.47383147
SC1,2023-12-18,1,113.6708311
SC1,2023-12-18,2,107.7760308
SC1,2023-12-18,3,113.0574992
SC1,2023-12-18,4,91.76125541
SC1,2023-12-18,5,79.15387907
SC1,2023-12-18,6,0.681479803
SC1,2023-12-18,7,31.00733102
SC1,2023-12-18,8,56.90356351
SC1,2023-12-18,9,75.54203611
SC1,2023-12-18,10,70.22649365
SC1,2023-12-18,11,53.46209051
SC1,2023-12-18,12,85.83238113
SC1,2023-12-18,13,90.80718369
SC1,2023-12-18,14,3.782212904
SC1,2023-12-18,15,2.146661378
SC1,2023-12-18,16,26.13475043
SC1,2023-12-18,17,26.16882442
SC1,2023-12-18,18,31.4162189
SC1,2023-12-18,19,67.09168656
SC1,2023-12-18,20,89.10348418
SC1,2023-12-18,21,80.34646872
SC1,2023-12-18,22,98.09901758
SC1,2023-12-18,23,107.060477
SC1,2023-12-19,0,101.6366724
SC1,2023-12-19,1,103.0734749
SC1,2023-12-19,2,101.0893191
SC1,2023-12-19,3,109.2996191
SC1,2023-12-19,4,83.09507819
SC1,2023-12-19,5,57.67735769
SC1,2023-12-19,6,0.752610836
SC1,2023-12-19,7,40.64098513
SC1,2023-12-19,8,71.05330481
SC1,2023-12-19,9,45.08823098
SC1,2023-12-19,10,44.95139265
SC1,2023-12-19,11,61.40620228
SC1,2023-12-19,12,77.82680234
SC1,2023-12-19,13,69.30861606
SC1,2023-12-19,14,1.915736673
SC1,2023-12-19,15,0.444724585
SC1,2023-12-19,16,24.25459466
SC1,2023-12-19,17,25.38351092
SC1,2023-12-19,18,30.24127176
SC1,2023-12-19,19,62.1930227
SC1,2023-12-19,20,64.07454979
SC1,2023-12-19,21,103.2445228
SC1,2023-12-19,22,109.8469724
SC1,2023-12-19,23,95.75262406
SC1,2023-12-20,0,92.07677652
SC1,2023-12-20,1,103.5133922
SC1,2023-12-20,2,95.16775372
SC1,2023-12-20,3,85.44834762
SC1,2023-12-20,4,86.20391983
SC1,2023-12-20,5,49.3869469
SC1,2023-12-20,6,1.1677025
SC1,2023-12-20,7,49.21522594
SC1,2023-12-20,8,63.53675366
SC1,2023-12-20,9,38.98065697
SC1,2023-12-20,10,41.07565264
SC1,2023-12-20,11,63.19331175
SC1,2023-12-20,12,81.73917498
SC1,2023-12-20,13,71.22985248
SC1,2023-12-20,14,3.503107499
SC1,2023-12-20,15,0.274753529
SC1,2023-12-20,16,25.17429213
SC1,2023-12-20,17,25.03691536
SC1,2023-12-20,18,32.48960484
SC1,2023-12-20,19,62.05995344
SC1,2023-12-20,20,85.86047792
SC1,2023-12-20,21,75.38549961
SC1,2023-12-20,22,104.5780621
SC1,2023-12-20,23,120.0329481
SC1,2023-12-21,0,99.3662044
SC1,2023-12-21,1,106.0894556
SC1,2023-12-21,2,116.7087446
SC1,2023-12-21,3,102.9519384
SC1,2023-12-21,4,90.33291309
SC1,2023-12-21,5,65.47412289
SC1,2023-12-21,6,0.413738533
SC1,2023-12-21,7,29.09961017
SC1,2023-12-21,8,64.2673855
SC1,2023-12-21,9,66.54294743
SC1,2023-12-21,10,52.54479372
SC1,2023-12-21,11,52.02762056
SC1,2023-12-21,12,68.99090042
SC1,2023-12-21,13,79.47227659
SC1,2023-12-21,14,4.68903671
SC1,2023-12-21,15,0.896433489
SC1,2023-12-21,16,30.20291293
SC1,2023-12-21,17,26.13448402
SC1,2023-12-21,18,35.68494849
SC1,2023-12-21,19,83.50622729
SC1,2023-12-21,20,110.8474487
SC1,2023-12-21,21,91.298303
SC1,2023-12-21,22,95.71151402
SC1,2023-12-21,23,112.1576207
SC1,2023-12-22,0,116.3999383
SC1,2023-12-22,1,110.688969
SC1,2023-12-22,2,86.91056947
SC1,2023-12-22,3,114.0809387
SC1,2023-12-22,4,89.92180784
SC1,2023-12-22,5,72.92734762
SC1,2023-12-22,6,0.969134188
SC1,2023-12-22,7,40.46135234
SC1,2023-12-22,8,59.04796158
SC1,2023-12-22,9,57.21352901
SC1,2023-12-22,10,52.2986342
SC1,2023-12-22,11,49.8411868
SC1,2023-12-22,12,94.10985201
SC1,2023-12-22,13,84.79924142
SC1,2023-12-22,14,3.80731288
SC1,2023-12-22,15,1.695984828
SC1,2023-12-22,16,21.04405665
SC1,2023-12-22,17,18.79428085
SC1,2023-12-22,18,36.10024849
SC1,2023-12-22,19,65.00121445
SC1,2023-12-22,20,109.0622081
SC1,2023-12-22,21,86.52983819
SC1,2023-12-22,22,97.22492619
SC1,2023-12-22,23,100.4784481
SC1,2023-12-23,0,114.8341359
SC1,2023-12-23,1,109.8655182
SC1,2023-12-23,2,107.4333277
SC1,2023-12-23,3,102.1867454
SC1,2023-12-23,4,111.7070338
SC1,2023-12-23,5,77.44789375
SC1,2023-12-23,6,0.660165985
SC1,2023-12-23,7,36.37862035
SC1,2023-12-23,8,59.58866657
SC1,2023-12-23,9,49.85990468
SC1,2023-12-23,10,42.87604347
SC1,2023-12-23,11,45.41247067
SC1,2023-12-23,12,89.36562706
SC1,2023-12-23,13,78.10805974
SC1,2023-12-23,14,5.038108835
SC1,2023-12-23,15,0.069491156
SC1,2023-12-23,16,23.66173874
SC1,2023-12-23,17,26.64985846
SC1,2023-12-23,18,35.336253
SC1,2023-12-23,19,71.64538219
SC1,2023-12-23,20,103.0901304
SC1,2023-12-23,21,80.64448694
SC1,2023-12-23,22,100.5189577
SC1,2023-12-23,23,96.73168964
SC1,2023-12-24,0,106.1725816
SC1,2023-12-24,1,105.5447542
SC1,2023-12-24,2,90.58153562
SC1,2023-12-24,3,106.5213746
SC1,2023-12-24,4,112.1369415
SC1,2023-12-24,5,96.05758533
SC1,2023-12-24,6,0.104637893
SC1,2023-12-24,7,41.68076052
SC1,2023-12-24,8,65.43356212
SC1,2023-12-24,9,49.38908527
SC1,2023-12-24,10,38.47186515
SC1,2023-12-24,11,77.32740257
SC1,2023-12-24,12,83.64055541
SC1,2023-12-24,13,91.06984578
SC1,2023-12-24,14,5.964359873
SC1,2023-12-24,15,2.825223098
SC1,2023-12-24,16,22.14835392
SC1,2023-12-24,17,24.20623247
SC1,2023-12-24,18,28.42662747
SC1,2023-12-24,19,58.7018577
SC1,2023-12-24,20,68.81685398
SC1,2023-12-24,21,86.01234765
SC1,2023-12-24,22,102.824169
SC1,2023-12-24,23,95.42975797
SC1,2023-12-25,0,115.7886833
SC1,2023-12-25,1,107.4555395
SC1,2023-12-25,2,86.16750823
SC1,2023-12-25,3,90.9293047
SC1,2023-12-25,4,116.068789
SC1,2023-12-25,5,93.73036145
SC1,2023-12-25,6,0.070026419
SC1,2023-12-25,7,30.39146572
SC1,2023-12-25,8,53.5001839
SC1,2023-12-25,9,65.57974113
SC1,2023-12-25,10,53.39514427
SC1,2023-12-25,11,61.7282881
SC1,2023-12-25,12,81.89589669
SC1,2023-12-25,13,85.32719121
SC1,2023-12-25,14,7.212721128
SC1,2023-12-25,15,2.906096377
SC1,2023-12-25,16,18.10182924
SC1,2023-12-25,17,24.26415409
SC1,2023-12-25,18,28.95592414
SC1,2023-12-25,19,60.74791824
SC1,2023-12-25,20,96.21629932
SC1,2023-12-25,21,85.36220441
SC1,2023-12-25,22,89.70384238
SC1,2023-12-25,23,102.0635053
SC1,2023-12-26,0,105.0204291
SC1,2023-12-26,1,103.1224696
SC1,2023-12-26,2,89.02836243
SC1,2023-12-26,3,116.6542183
SC1,2023-12-26,4,97.63947526
SC1,2023-12-26,5,78.02722645
SC1,2023-12-26,6,0.175736997
SC1,2023-12-26,7,37.53742245
SC1,2023-12-26,8,71.38436798
SC1,2023-12-26,9,52.89683595
SC1,2023-12-26,10,33.63606113
SC1,2023-12-26,11,67.30726966
SC1,2023-12-26,12,80.3821022
SC1,2023-12-26,13,68.67801824
SC1,2023-12-26,14,6.396826673
SC1,2023-12-26,15,3.374150333
SC1,2023-12-26,16,23.58390493
SC1,2023-12-26,17,15.85147709
SC1,2023-12-26,18,26.57143387
SC1,2023-12-26,19,70.01361941
SC1,2023-12-26,20,93.00001855
SC1,2023-12-26,21,76.97280447
SC1,2023-12-26,22,85.05670631
SC1,2023-12-26,23,104.3526285
SC1,2023-12-27,0,106.72784
SC1,2023-12-27,1,97.83679351
SC1,2023-12-27,2,70.81083468
SC1,2023-12-27,3,99.07166108
SC1,2023-12-27,4,95.26121257
SC1,2023-12-27,5,60.54379288
SC1,2023-12-27,6,0.141127722
SC1,2023-12-27,7,39.62160804
SC1,2023-12-27,8,69.64653097
SC1,2023-12-27,9,53.13458746
SC1,2023-12-27,10,29.81323134
SC1,2023-12-27,11,34.78798355
SC1,2023-12-27,12,78.14947624
SC1,2023-12-27,13,80.01941856
SC1,2023-12-27,14,7.797306659
SC1,2023-12-27,15,4.86890642
SC1,2023-12-27,16,21.62782345
SC1,2023-12-27,17,33.41198826
SC1,2023-12-27,18,35.84644147
SC1,2023-12-27,19,67.81187058
SC1,2023-12-27,20,101.7530878
SC1,2023-12-27,21,82.20689826
SC1,2023-12-27,22,79.84300891
SC1,2023-12-27,23,98.43658633
SC1,2023-12-28,0,82.910846
SC1,2023-12-28,1,114.0422572
SC1,2023-12-28,2,119.531869
SC1,2023-12-28,3,113.9005898
SC1,2023-12-28,4,83.93793465
SC1,2023-12-28,5,72.07328988
SC1,2023-12-28,6,0.03541685
SC1,2023-12-28,7,28.33348005
SC1,2023-12-28,8,67.25659827
SC1,2023-12-28,9,57.83571615
SC1,2023-12-28,10,62.61699091
SC1,2023-12-28,11,71.89620563
SC1,2023-12-28,12,82.0608416
SC1,2023-12-28,13,85.85044455
SC1,2023-12-28,14,3.931270357
SC1,2023-12-28,15,0.708337001
SC1,2023-12-28,16,14.02507263
SC1,2023-12-28,17,23.09178624
SC1,2023-12-28,18,35.38143321
SC1,2023-12-28,19,63.43157846
SC1,2023-12-28,20,101.7880271
SC1,2023-12-28,21,89.53379696
SC1,2023-12-28,22,84.1150189
SC1,2023-12-28,23,106.7463861
SC1,2023-12-29,0,122.370647
SC1,2023-12-29,1,113.4825988
SC1,2023-12-29,2,104.665655
SC1,2023-12-29,3,116.7534005
SC1,2023-12-29,4,96.20423319
SC1,2023-12-29,5,78.42813689
SC1,2023-12-29,6,0.14220877
SC1,2023-12-29,7,33.84568736
SC1,2023-12-29,8,47.24886397
SC1,2023-12-29,9,42.48487016
SC1,2023-12-29,10,71.31769837
SC1,2023-12-29,11,62.85627653
SC1,2023-12-29,12,76.50831849
SC1,2023-12-29,13,114.3002992
SC1,2023-12-29,14,2.737518831
SC1,2023-12-29,15,4.692889424
SC1,2023-12-29,16,18.41603577
SC1,2023-12-29,17,23.53555151
SC1,2023-12-29,18,35.16111849
SC1,2023-12-29,19,64.31391642
SC1,2023-12-29,20,82.65884781
SC1,2023-12-29,21,88.77382494
SC1,2023-12-29,22,100.6838095
SC1,2023-12-29,23,105.767773
SC1,2023-12-30,0,113.1665982
SC1,2023-12-30,1,118.6625478
SC1,2023-12-30,2,106.2431293
SC1,2023-12-30,3,94.43040647
SC1,2023-12-30,4,99.56947621
SC1,2023-12-30,5,95.78654987
SC1,2023-12-30,6,0.321191859
SC1,2023-12-30,7,26.65892427
SC1,2023-12-30,8,55.0308718
SC1,2023-12-30,9,50.10592996
SC1,2023-12-30,10,54.92380784
SC1,2023-12-30,11,56.95802295
SC1,2023-12-30,12,98.57021265
SC1,2023-12-30,13,117.6632842
SC1,2023-12-30,14,5.38888563
SC1,2023-12-30,15,3.033478666
SC1,2023-12-30,16,25.05296498
SC1,2023-12-30,17,22.733246
SC1,2023-12-30,18,33.58239323
SC1,2023-12-30,19,61.95434075
SC1,2023-12-30,20,85.68685031
SC1,2023-12-30,21,98.74865257
SC1,2023-12-30,22,104.8156099
SC1,2023-12-30,23,101.7464433
SC10,2023-12-1,0,
SC10,2023-12-1,1,
SC10,2023-12-1,2,
SC10,2023-12-1,3,
SC10,2023-12-1,4,
SC10,2023-12-1,5,
SC10,2023-12-1,6,
SC10,2023-12-1,7,
SC10,2023-12-1,8,
SC10,2023-12-1,9,
SC10,2023-12-1,10,
SC10,2023-12-1,11,
SC10,2023-12-1,12,
SC10,2023-12-1,13,
SC10,2023-12-1,14,
SC10,2023-12-1,15,
SC10,2023-12-1,16,
SC10,2023-12-1,17,
SC10,2023-12-1,18,
SC10,2023-12-1,19,
SC10,2023-12-1,20,
SC10,2023-12-1,21,
SC10,2023-12-1,22,
