分拣中心,日期,小时,货量,
SC1,2023-12-4,15,62.87802732,
SC1,2023-12-4,16,76.72969726,
SC1,2023-12-4,17,63.58443178,
SC1,2023-12-4,18,76.11543252,
SC1,2023-12-4,19,106.4293975,
SC1,2023-12-4,20,135.760539,
SC1,2023-12-4,21,139.5996936,
SC1,2023-12-4,22,163.7710112,
SC1,2023-12-4,23,161.928217,
SC1,2023-12-5,0,153.8732153,
SC1,2023-12-5,1,146.1814732,
SC1,2023-12-5,2,165.0043544,
SC1,2023-12-5,3,129.8912387,
SC1,2023-12-5,4,156.3745949,
SC1,2023-12-5,5,130.4853164,
SC1,2023-12-5,6,34.77628056,
SC1,2023-12-5,7,80.14505253,
SC1,2023-12-5,8,112.1314438,
SC1,2023-12-5,9,95.62233862,
SC1,2023-12-5,10,75.17356063,
SC1,2023-12-5,11,86.55483767,
SC1,2023-12-5,12,121.4490827,
SC1,2023-12-5,13,113.0381939,
SC1,2023-12-5,14,48.252463,
SC1,2023-12-5,15,55.44392927,
SC1,2023-12-5,16,56.47574834,
SC1,2023-12-5,17,57.16362772,
SC1,2023-12-5,18,72.39077586,
SC1,2023-12-5,19,95.84120933,
SC1,2023-12-5,20,134.4562564,
SC1,2023-12-5,21,148.4952493,
SC1,2023-12-5,22,153.9044826,
SC1,2023-12-5,23,141.6789899,
SC1,2023-12-6,0,143.5233674,
SC1,2023-12-6,1,144.8233393,
SC1,2023-12-6,2,140.7014771,
SC1,2023-12-6,3,160.2327625,
SC1,2023-12-6,4,152.7499973,
SC1,2023-12-6,5,124.5310947,
SC1,2023-12-6,6,34.19889964,
SC1,2023-12-6,7,77.73210562,
SC1,2023-12-6,8,105.3485822,
SC1,2023-12-6,9,77.00285308,
SC1,2023-12-6,10,76.11506738,
SC1,2023-12-6,11,74.02242966,
SC1,2023-12-6,12,138.4820129,
SC1,2023-12-6,13,128.8431967,
SC1,2023-12-6,14,50.68634837,
SC1,2023-12-6,15,60.51540435,
SC1,2023-12-6,16,66.03235835,
SC1,2023-12-6,17,62.48121554,
SC1,2023-12-6,18,73.99072302,
SC1,2023-12-6,19,115.716651,
SC1,2023-12-6,20,141.3673164,
SC1,2023-12-6,21,151.0378392,
SC1,2023-12-6,22,156.6816197,
SC1,2023-12-6,23,157.6328187,
SC1,2023-12-7,0,159.3830624,
SC1,2023-12-7,1,161.9480348,
SC1,2023-12-7,2,146.1413924,
SC1,2023-12-7,3,138.8632832,
SC1,2023-12-7,4,130.5591851,
SC1,2023-12-7,5,128.8278288,
SC1,2023-12-7,6,33.89178796,
SC1,2023-12-7,7,80.89490711,
SC1,2023-12-7,8,104.1720316,
SC1,2023-12-7,9,93.65564478,
SC1,2023-12-7,10,93.62358263,
SC1,2023-12-7,11,90.06468343,
SC1,2023-12-7,12,129.2766989,
SC1,2023-12-7,13,108.5324847,
SC1,2023-12-7,14,34.98190123,
SC1,2023-12-7,15,39.0537949,
SC1,2023-12-7,16,75.86114879,
SC1,2023-12-7,17,84.00493614,
SC1,2023-12-7,18,88.17301629,
SC1,2023-12-7,19,117.8625718,
SC1,2023-12-7,20,153.0347557,
SC1,2023-12-7,21,145.852833,
SC1,2023-12-7,22,157.4593331,
SC1,2023-12-7,23,144.5062225,
SC1,2023-12-8,0,158.0189859,
SC1,2023-12-8,1,149.347484,
SC1,2023-12-8,2,153.4567405,
SC1,2023-12-8,3,156.5953065,
SC1,2023-12-8,4,148.0208736,
SC1,2023-12-8,5,132.1662619,
SC1,2023-12-8,6,55.54642392,
SC1,2023-12-8,7,74.28075086,
SC1,2023-12-8,8,105.5693418,
SC1,2023-12-8,9,91.97967459,
SC1,2023-12-8,10,86.96444026,
SC1,2023-12-8,11,120.1296995,
SC1,2023-12-8,12,130.6131571,
SC1,2023-12-8,13,119.709067,
SC1,2023-12-8,14,55.61113662,
SC1,2023-12-8,15,61.56470511,
SC1,2023-12-8,16,73.08356589,
SC1,2023-12-8,17,85.44369178,
SC1,2023-12-8,18,82.9522528,
SC1,2023-12-8,19,129.3836158,
SC1,2023-12-8,20,155.6569724,
SC1,2023-12-8,21,147.0178268,
SC1,2023-12-8,22,172.9676199,
SC1,2023-12-8,23,163.4224965,
SC1,2023-12-9,0,165.5689645,
SC1,2023-12-9,1,156.6023875,
SC1,2023-12-9,2,166.5471365,
SC1,2023-12-9,3,153.6678714,
SC1,2023-12-9,4,149.9834233,
SC1,2023-12-9,5,138.7996564,
SC1,2023-12-9,6,35.11342037,
SC1,2023-12-9,7,80.63102587,
SC1,2023-12-9,8,119.8557246,
SC1,2023-12-9,9,87.18477853,
SC1,2023-12-9,10,73.03388971,
SC1,2023-12-9,11,113.7258465,
SC1,2023-12-9,12,134.6587281,
SC1,2023-12-9,13,109.0958322,
SC1,2023-12-9,14,48.74261743,
SC1,2023-12-9,15,68.20824099,
SC1,2023-12-9,16,75.51192554,
SC1,2023-12-9,17,75.96840582,
SC1,2023-12-9,18,81.3157463,
SC1,2023-12-9,19,104.9222981,
SC1,2023-12-9,20,145.8424951,
SC1,2023-12-9,21,137.4302155,
SC1,2023-12-9,22,132.8002012,
SC1,2023-12-9,23,150.2442692,
SC1,2023-12-10,0,150.2028748,
SC1,2023-12-10,1,153.4522934,
SC1,2023-12-10,2,163.0364372,
SC1,2023-12-10,3,155.9467966,
SC1,2023-12-10,4,133.2008662,
SC1,2023-12-10,5,135.8923039,
SC1,2023-12-10,6,33.91307511,
SC1,2023-12-10,7,64.33944946,
SC1,2023-12-10,8,118.1682023,
SC1,2023-12-10,9,91.61487241,
SC1,2023-12-10,10,82.39177512,
SC1,2023-12-10,11,110.4549359,
SC1,2023-12-10,12,133.3978007,
SC1,2023-12-10,13,94.17502042,
SC1,2023-12-10,14,37.45789542,
SC1,2023-12-10,15,57.02005196,
SC1,2023-12-10,16,69.91925921,
SC1,2023-12-10,17,60.40076022,
SC1,2023-12-10,18,86.03506266,
SC1,2023-12-10,19,100.2143439,
SC1,2023-12-10,20,142.7193652,
SC1,2023-12-10,21,156.2421983,
SC1,2023-12-10,22,158.0474308,
SC1,2023-12-10,23,175.7058876,
SC1,2023-12-11,0,260.6341761,
SC1,2023-12-11,1,211.8706562,
SC1,2023-12-11,2,206.0269575,
SC1,2023-12-11,3,212.2998544,
SC1,2023-12-11,4,206.4231405,
SC1,2023-12-11,5,167.4321337,
SC1,2023-12-11,6,99.02454176,
SC1,2023-12-11,7,164.130609,
SC1,2023-12-11,8,199.3248623,
SC1,2023-12-11,9,192.7218129,
SC1,2023-12-11,10,181.3315527,
SC1,2023-12-11,11,183.1473913,
SC1,2023-12-11,12,182.1899491,
SC1,2023-12-11,13,137.1571521,
SC1,2023-12-11,14,106.9482011,
SC1,2023-12-11,15,174.563427,
SC1,2023-12-11,16,189.6844102,
SC1,2023-12-11,17,174.2002593,
SC1,2023-12-11,18,181.3315527,
SC1,2023-12-11,19,151.0565711,
SC1,2023-12-11,20,185.920672,
SC1,2023-12-11,21,164.130609,
SC1,2023-12-11,22,186.2178093,
SC1,2023-12-11,23,230.0620574,
SC1,2023-12-12,0,175.6146782,
SC1,2023-12-12,1,178.767799,
SC1,2023-12-12,2,225.2348417,
SC1,2023-12-12,3,200.872835,
SC1,2023-12-12,4,209.1705212,
SC1,2023-12-12,5,229.5496386,
SC1,2023-12-12,6,116.1036727,
SC1,2023-12-12,7,143.1873205,
SC1,2023-12-12,8,149.4271805,
SC1,2023-12-12,9,172.7934649,
SC1,2023-12-12,10,163.5996286,
SC1,2023-12-12,11,172.6275112,
SC1,2023-12-12,12,175.1831985,
SC1,2023-12-12,13,117.497684,
SC1,2023-12-12,14,79.22875519,
SC1,2023-12-12,15,142.2247889,
SC1,2023-12-12,16,149.1616546,
SC1,2023-12-12,17,169.9390608,
SC1,2023-12-12,18,162.8694322,
SC1,2023-12-12,19,169.1756737,
SC1,2023-12-12,20,198.7154366,
SC1,2023-12-12,21,175.8138227,
SC1,2023-12-12,22,195.7946511,
SC1,2023-12-12,23,224.0399749,
SC1,2023-12-13,0,186.9545755,
SC1,2023-12-13,1,209.6350692,
SC1,2023-12-13,2,222.6763531,
SC1,2023-12-13,3,186.9879291,
SC1,2023-12-13,4,175.8478043,
SC1,2023-12-13,5,87.49393985,
SC1,2023-12-13,6,95.999125,
SC1,2023-12-13,7,123.5159004,
SC1,2023-12-13,8,144.3619424,
SC1,2023-12-13,9,94.63162464,
SC1,2023-12-13,10,95.16528331,
SC1,2023-12-13,11,92.09674593,
SC1,2023-12-13,12,132.5880979,
SC1,2023-12-13,13,95.66558832,
SC1,2023-12-13,14,46.73575851,
SC1,2023-12-13,15,94.49820997,
SC1,2023-12-13,16,106.6389448,
SC1,2023-12-13,17,99.63467472,
SC1,2023-12-13,18,99.33449172,
SC1,2023-12-13,19,127.3182185,
SC1,2023-12-13,20,188.9557955,
SC1,2023-12-13,21,180.7174397,
SC1,2023-12-13,22,181.9848791,
SC1,2023-12-13,23,169.1437172,
SC1,2023-12-14,0,184.3474494,
SC1,2023-12-14,1,170.6763872,
SC1,2023-12-14,2,171.5140748,
SC1,2023-12-14,3,174.8983329,
SC1,2023-12-14,4,142.7311277,
SC1,2023-12-14,5,94.98293257,
SC1,2023-12-14,6,34.56890037,
SC1,2023-12-14,7,91.19658447,
SC1,2023-12-14,8,121.4538618,
SC1,2023-12-14,9,113.2780305,
SC1,2023-12-14,10,108.9890698,
SC1,2023-12-14,11,99.27189326,
SC1,2023-12-14,12,103.761899,
SC1,2023-12-14,13,106.1409319,
SC1,2023-12-14,14,43.74995685,
SC1,2023-12-14,15,63.65341504,
SC1,2023-12-14,16,81.37888539,
SC1,2023-12-14,17,73.80618917,
SC1,2023-12-14,18,79.13388253,
SC1,2023-12-14,19,81.88149797,
SC1,2023-12-14,20,150.906959,
SC1,2023-12-14,21,160.8921956,
SC1,2023-12-14,22,160.2220455,
SC1,2023-12-14,23,144.674563,
SC1,2023-12-15,0,138.9730699,
SC1,2023-12-15,1,153.209058,
SC1,2023-12-15,2,122.3475898,
SC1,2023-12-15,3,148.2954546,
SC1,2023-12-15,4,154.0167737,
SC1,2023-12-15,5,126.386168,
SC1,2023-12-15,6,35.01333671,
SC1,2023-12-15,7,74.65871248,
SC1,2023-12-15,8,123.2562699,
SC1,2023-12-15,9,104.544191,
SC1,2023-12-15,10,85.36094465,
SC1,2023-12-15,11,96.63530873,
SC1,2023-12-15,12,109.4241396,
SC1,2023-12-15,13,119.1503821,
SC1,2023-12-15,14,35.34988489,
SC1,2023-12-15,15,34.00369216,
SC1,2023-12-15,16,61.19678523,
SC1,2023-12-15,17,67.18734286,
SC1,2023-12-15,18,74.42312876,
SC1,2023-12-15,19,111.0732257,
SC1,2023-12-15,20,135.2710399,
SC1,2023-12-15,21,167.646975,
SC1,2023-12-15,22,160.5458084,
SC1,2023-12-15,23,146.7136781,
SC1,2023-12-16,0,143.1062409,
SC1,2023-12-16,1,134.893453,
SC1,2023-12-16,2,146.5873815,
SC1,2023-12-16,3,138.9491507,
SC1,2023-12-16,4,130.7025654,
SC1,2023-12-16,5,149.4263699,
SC1,2023-12-16,6,38.80721436,
SC1,2023-12-16,7,62.53304607,
SC1,2023-12-16,8,102.2112888,
SC1,2023-12-16,9,99.37230044,
SC1,2023-12-16,10,89.57103093,
SC1,2023-12-16,11,105.7600244,
SC1,2023-12-16,12,128.9450964,
SC1,2023-12-16,13,121.0364858,
SC1,2023-12-16,14,52.08962442,
SC1,2023-12-16,15,68.34621282,
SC1,2023-12-16,16,59.22089293,
SC1,2023-12-16,17,57.05785414,
SC1,2023-12-16,18,65.94659166,
SC1,2023-12-16,19,92.41001934,
SC1,2023-12-16,20,102.5492637,
SC1,2023-12-16,21,117.8595226,
SC1,2023-12-16,22,164.466249,
SC1,2023-12-16,23,146.2156092,
SC1,2023-12-17,0,152.4178898,
SC1,2023-12-17,1,154.7934707,
SC1,2023-12-17,2,114.6461546,
SC1,2023-12-17,3,139.6576271,
SC1,2023-12-17,4,159.5106955,
SC1,2023-12-17,5,142.1689554,
SC1,2023-12-17,6,36.48954513,
SC1,2023-12-17,7,70.79971975,
SC1,2023-12-17,8,117.0896091,
SC1,2023-12-17,9,94.72521244,
SC1,2023-12-17,10,75.89025011,
SC1,2023-12-17,11,90.34735633,
SC1,2023-12-17,12,125.6417001,
SC1,2023-12-17,13,113.0511217,
SC1,2023-12-17,14,36.15017644,
SC1,2023-12-17,15,33.80853248,
SC1,2023-12-17,16,71.00334097,
SC1,2023-12-17,17,74.46490161,
SC1,2023-12-17,18,77.89252539,
SC1,2023-12-17,19,85.76587901,
SC1,2023-12-17,20,128.2887759,
SC1,2023-12-17,21,134.1259174,
SC1,2023-12-17,22,132.8023795,
SC1,2023-12-17,23,134.2616649,
SC1,2023-12-18,0,131.4678791,
SC1,2023-12-18,1,146.6648787,
SC1,2023-12-18,2,140.7700784,
SC1,2023-12-18,3,146.0515468,
SC1,2023-12-18,4,124.755303,
SC1,2023-12-18,5,112.1479267,
SC1,2023-12-18,6,33.67552742,
SC1,2023-12-18,7,64.00137864,
SC1,2023-12-18,8,89.89761113,
SC1,2023-12-18,9,108.5360837,
SC1,2023-12-18,10,103.2205413,
SC1,2023-12-18,11,86.45613813,
SC1,2023-12-18,12,118.8264287,
SC1,2023-12-18,13,123.8012313,
SC1,2023-12-18,14,36.77626052,
SC1,2023-12-18,15,35.140709,
SC1,2023-12-18,16,59.12879805,
SC1,2023-12-18,17,59.16287204,
SC1,2023-12-18,18,64.41026652,
SC1,2023-12-18,19,100.0857342,
SC1,2023-12-18,20,122.0975318,
SC1,2023-12-18,21,113.3405163,
SC1,2023-12-18,22,131.0930652,
SC1,2023-12-18,23,140.0545246,
SC1,2023-12-19,0,134.63072,
SC1,2023-12-19,1,136.0675225,
SC1,2023-12-19,2,134.0833667,
SC1,2023-12-19,3,142.2936667,
SC1,2023-12-19,4,116.0891258,
SC1,2023-12-19,5,90.67140531,
SC1,2023-12-19,6,33.74665846,
SC1,2023-12-19,7,73.63503275,
SC1,2023-12-19,8,104.0473524,
SC1,2023-12-19,9,78.0822786,
SC1,2023-12-19,10,77.94544027,
SC1,2023-12-19,11,94.4002499,
SC1,2023-12-19,12,110.82085,
SC1,2023-12-19,13,102.3026637,
SC1,2023-12-19,14,34.90978429,
SC1,2023-12-19,15,33.4387722,
SC1,2023-12-19,16,57.24864228,
SC1,2023-12-19,17,58.37755854,
SC1,2023-12-19,18,63.23531938,
SC1,2023-12-19,19,95.18707032,
SC1,2023-12-19,20,97.06859741,
SC1,2023-12-19,21,136.2385704,
SC1,2023-12-19,22,142.84102,
SC1,2023-12-19,23,128.7466717,
SC1,2023-12-20,0,125.0708241,
SC1,2023-12-20,1,136.5074398,
SC1,2023-12-20,2,128.1618013,
SC1,2023-12-20,3,118.4423952,
SC1,2023-12-20,4,119.1979674,
SC1,2023-12-20,5,82.38099452,
SC1,2023-12-20,6,34.16175012,
SC1,2023-12-20,7,82.20927356,
SC1,2023-12-20,8,96.53080128,
SC1,2023-12-20,9,71.97470459,
SC1,2023-12-20,10,74.06970026,
SC1,2023-12-20,11,96.18735937,
SC1,2023-12-20,12,114.7332226,
SC1,2023-12-20,13,104.2239001,
SC1,2023-12-20,14,36.49715512,
SC1,2023-12-20,15,33.26880115,
SC1,2023-12-20,16,58.16833975,
SC1,2023-12-20,17,58.03096298,
SC1,2023-12-20,18,65.48365246,
SC1,2023-12-20,19,95.05400106,
SC1,2023-12-20,20,118.8545255,
SC1,2023-12-20,21,108.3795472,
SC1,2023-12-20,22,137.5721097,
SC1,2023-12-20,23,153.0269957,
SC1,2023-12-21,0,132.360252,
SC1,2023-12-21,1,139.0835032,
SC1,2023-12-21,2,149.7027922,
SC1,2023-12-21,3,135.945986,
SC1,2023-12-21,4,123.3269607,
SC1,2023-12-21,5,98.46817051,
SC1,2023-12-21,6,33.40778615,
SC1,2023-12-21,7,62.09365779,
SC1,2023-12-21,8,97.26143312,
SC1,2023-12-21,9,99.53699505,
SC1,2023-12-21,10,85.53884134,
SC1,2023-12-21,11,85.02166818,
SC1,2023-12-21,12,101.984948,
SC1,2023-12-21,13,112.4663242,
SC1,2023-12-21,14,37.68308433,
SC1,2023-12-21,15,33.89048111,
SC1,2023-12-21,16,63.19696055,
SC1,2023-12-21,17,59.12853164,
SC1,2023-12-21,18,68.67899611,
SC1,2023-12-21,19,116.5002749,
SC1,2023-12-21,20,143.8414963,
SC1,2023-12-21,21,124.2923506,
SC1,2023-12-21,22,128.7055616,
SC1,2023-12-21,23,145.1516683,
SC1,2023-12-22,0,149.3939859,
SC1,2023-12-22,1,143.6830166,
SC1,2023-12-22,2,119.9046171,
SC1,2023-12-22,3,147.0749863,
SC1,2023-12-22,4,122.9158555,
SC1,2023-12-22,5,105.9213952,
SC1,2023-12-22,6,33.96318181,
SC1,2023-12-22,7,73.45539996,
SC1,2023-12-22,8,92.0420092,
SC1,2023-12-22,9,90.20757663,
SC1,2023-12-22,10,85.29268182,
SC1,2023-12-22,11,82.83523442,
SC1,2023-12-22,12,127.1038996,
SC1,2023-12-22,13,117.793289,
SC1,2023-12-22,14,36.8013605,
SC1,2023-12-22,15,34.69003245,
SC1,2023-12-22,16,54.03810427,
SC1,2023-12-22,17,51.78832847,
SC1,2023-12-22,18,69.09429611,
SC1,2023-12-22,19,97.99526207,
SC1,2023-12-22,20,142.0562557,
SC1,2023-12-22,21,119.5238858,
SC1,2023-12-22,22,130.2189738,
SC1,2023-12-22,23,133.4724957,
SC1,2023-12-23,0,147.8281835,
SC1,2023-12-23,1,142.8595658,
SC1,2023-12-23,2,140.4273753,
SC1,2023-12-23,3,135.180793,
SC1,2023-12-23,4,144.7010814,
SC1,2023-12-23,5,110.4419414,
SC1,2023-12-23,6,33.6542136,
SC1,2023-12-23,7,69.37266797,
SC1,2023-12-23,8,92.58271419,
SC1,2023-12-23,9,82.8539523,
SC1,2023-12-23,10,75.87009109,
SC1,2023-12-23,11,78.40651829,
SC1,2023-12-23,12,122.3596747,
SC1,2023-12-23,13,111.1021074,
SC1,2023-12-23,14,38.03215645,
SC1,2023-12-23,15,33.06353878,
SC1,2023-12-23,16,56.65578636,
SC1,2023-12-23,17,59.64390608,
SC1,2023-12-23,18,68.33030062,
SC1,2023-12-23,19,104.6394298,
SC1,2023-12-23,20,136.084178,
SC1,2023-12-23,21,113.6385346,
SC1,2023-12-23,22,133.5130053,
SC1,2023-12-23,23,129.7257373,
SC1,2023-12-24,0,139.1666292,
SC1,2023-12-24,1,138.5388018,
SC1,2023-12-24,2,123.5755832,
SC1,2023-12-24,3,139.5154222,
SC1,2023-12-24,4,145.1309891,
SC1,2023-12-24,5,129.0516329,
SC1,2023-12-24,6,33.09868551,
SC1,2023-12-24,7,74.67480814,
SC1,2023-12-24,8,98.42760974,
SC1,2023-12-24,9,82.38313289,
SC1,2023-12-24,10,71.46591277,
SC1,2023-12-24,11,110.3214502,
SC1,2023-12-24,12,116.634603,
SC1,2023-12-24,13,124.0638934,
SC1,2023-12-24,14,38.95840749,
SC1,2023-12-24,15,35.81927072,
SC1,2023-12-24,16,55.14240154,
SC1,2023-12-24,17,57.20028009,
SC1,2023-12-24,18,61.42067509,
SC1,2023-12-24,19,91.69590532,
SC1,2023-12-24,20,101.8109016,
SC1,2023-12-24,21,119.0063953,
SC1,2023-12-24,22,135.8182166,
SC1,2023-12-24,23,128.4238056,
SC1,2023-12-25,0,148.7827309,
SC1,2023-12-25,1,140.4495871,
SC1,2023-12-25,2,119.1615558,
SC1,2023-12-25,3,123.9233523,
SC1,2023-12-25,4,149.0628366,
SC1,2023-12-25,5,126.7244091,
SC1,2023-12-25,6,33.06407404,
SC1,2023-12-25,7,63.38551334,
SC1,2023-12-25,8,86.49423152,
SC1,2023-12-25,9,98.57378875,
SC1,2023-12-25,10,86.38919189,
SC1,2023-12-25,11,94.72233572,
SC1,2023-12-25,12,114.8899443,
SC1,2023-12-25,13,118.3212388,
SC1,2023-12-25,14,40.20676875,
SC1,2023-12-25,15,35.900144,
SC1,2023-12-25,16,51.09587686,
SC1,2023-12-25,17,57.25820171,
SC1,2023-12-25,18,61.94997176,
SC1,2023-12-25,19,93.74196586,
SC1,2023-12-25,20,129.2103469,
SC1,2023-12-25,21,118.356252,
SC1,2023-12-25,22,122.69789,
SC1,2023-12-25,23,135.0575529,
SC1,2023-12-26,0,138.0144767,
SC1,2023-12-26,1,136.1165172,
SC1,2023-12-26,2,122.02241,
SC1,2023-12-26,3,149.6482659,
SC1,2023-12-26,4,130.6335229,
SC1,2023-12-26,5,111.0212741,
SC1,2023-12-26,6,33.16978462,
SC1,2023-12-26,7,70.53147007,
SC1,2023-12-26,8,104.3784156,
SC1,2023-12-26,9,85.89088357,
SC1,2023-12-26,10,66.63010875,
SC1,2023-12-26,11,100.3013173,
SC1,2023-12-26,12,113.3761498,
SC1,2023-12-26,13,101.6720659,
SC1,2023-12-26,14,39.39087429,
SC1,2023-12-26,15,36.36819795,
SC1,2023-12-26,16,56.57795255,
SC1,2023-12-26,17,48.84552471,
SC1,2023-12-26,18,59.56548149,
SC1,2023-12-26,19,103.007667,
SC1,2023-12-26,20,125.9940662,
SC1,2023-12-26,21,109.9668521,
SC1,2023-12-26,22,118.0507539,
SC1,2023-12-26,23,137.3466761,
SC1,2023-12-27,0,139.7218876,
SC1,2023-12-27,1,130.8308411,
SC1,2023-12-27,2,103.8048823,
SC1,2023-12-27,3,132.0657087,
SC1,2023-12-27,4,128.2552602,
SC1,2023-12-27,5,93.5378405,
SC1,2023-12-27,6,33.13517534,
SC1,2023-12-27,7,72.61565566,
SC1,2023-12-27,8,102.6405786,
SC1,2023-12-27,9,86.12863508,
SC1,2023-12-27,10,62.80727896,
SC1,2023-12-27,11,67.78203117,
SC1,2023-12-27,12,111.1435239,
SC1,2023-12-27,13,113.0134662,
SC1,2023-12-27,14,40.79135428,
SC1,2023-12-27,15,37.86295404,
SC1,2023-12-27,16,54.62187107,
SC1,2023-12-27,17,66.40603588,
SC1,2023-12-27,18,68.84048909,
SC1,2023-12-27,19,100.8059182,
SC1,2023-12-27,20,134.7471354,
SC1,2023-12-27,21,115.2009459,
SC1,2023-12-27,22,112.8370565,
SC1,2023-12-27,23,131.4306339,
SC1,2023-12-28,0,115.9048936,
SC1,2023-12-28,1,147.0363048,
SC1,2023-12-28,2,152.5259166,
SC1,2023-12-28,3,146.8946374,
SC1,2023-12-28,4,116.9319823,
SC1,2023-12-28,5,105.0673375,
SC1,2023-12-28,6,33.02946447,
SC1,2023-12-28,7,61.32752767,
SC1,2023-12-28,8,100.2506459,
SC1,2023-12-28,9,90.82976377,
SC1,2023-12-28,10,95.61103853,
SC1,2023-12-28,11,104.8902532,
SC1,2023-12-28,12,115.0548892,
SC1,2023-12-28,13,118.8444922,
SC1,2023-12-28,14,36.92531798,
SC1,2023-12-28,15,33.70238462,
SC1,2023-12-28,16,47.01912025,
SC1,2023-12-28,17,56.08583386,
SC1,2023-12-28,18,68.37548083,
SC1,2023-12-28,19,96.42562608,
SC1,2023-12-28,20,134.7820747,
SC1,2023-12-28,21,122.5278446,
SC1,2023-12-28,22,117.1090665,
SC1,2023-12-28,23,139.7404337,
SC1,2023-12-29,0,155.3646946,
SC1,2023-12-29,1,146.4766464,
SC1,2023-12-29,2,137.6597026,
SC1,2023-12-29,3,149.7474481,
SC1,2023-12-29,4,129.1982808,
SC1,2023-12-29,5,111.4221845,
SC1,2023-12-29,6,33.13625639,
SC1,2023-12-29,7,66.83973498,
SC1,2023-12-29,8,80.24291159,
SC1,2023-12-29,9,75.47891778,
SC1,2023-12-29,10,104.311746,
SC1,2023-12-29,11,95.85032415,
SC1,2023-12-29,12,109.5023661,
SC1,2023-12-29,13,147.2943468,
SC1,2023-12-29,14,35.73156645,
SC1,2023-12-29,15,37.68693704,
SC1,2023-12-29,16,51.41008339,
SC1,2023-12-29,17,56.52959913,
SC1,2023-12-29,18,68.15516611,
SC1,2023-12-29,19,97.30796404,
SC1,2023-12-29,20,115.6528954,
SC1,2023-12-29,21,121.7678726,
SC1,2023-12-29,22,133.6778571,
SC1,2023-12-29,23,138.7618206,
SC1,2023-12-30,0,146.1606458,
SC1,2023-12-30,1,151.6565954,
SC1,2023-12-30,2,139.2371769,
SC1,2023-12-30,3,127.4244541,
